td_date,portfolio_bond_mean,portfolio,total_25,total_50,total_75,total
2010-01-29,32.907,0.0021056736770671213,14.98,24.32,46.25,0.00209105514064456
2010-02-26,32.907,0.0021056736770671213,14.98,24.32,46.25,0.00209105514064456
2010-03-31,32.907,0.0021056736770671213,14.98,24.32,46.25,0.00209105514064456
2010-04-30,57.12050000000001,0.0021056736770671213,43.77,54.31,72.2,0.00209105514064456
2010-05-31,57.12050000000001,0.0021056736770671213,43.77,54.31,72.2,0.00209105514064456
2010-06-30,57.12050000000001,0.0021056736770671213,43.77,54.31,72.2,0.00209105514064456
2010-07-30,61.93578947368421,0.0020902866657488196,52.8625,61.99,70.25999999999999,0.0020892841506083837
2010-08-31,61.93578947368421,0.0020902866657488196,52.8625,61.99,70.25999999999999,0.0020892841506083837
2010-09-30,61.93578947368421,0.0020902866657488196,52.8625,61.99,70.25999999999999,0.0020892841506083837
2010-10-29,56.30749999999999,0.0020902866657488196,50.59,61.805,69.815,0.0020892841506083837
2010-11-30,56.30749999999999,0.0020902866657488196,50.59,61.805,69.815,0.0020892841506083837
2010-12-31,56.30749999999999,0.0020902866657488196,50.59,61.805,69.815,0.0020892841506083837
2011-01-31,39.56099999999999,0.0020947949811876533,30.195,44.71,56.585,0.00209105514064456
2011-02-28,39.56099999999999,0.0020947949811876533,30.195,44.71,56.585,0.00209105514064456
2011-03-31,39.56099999999999,0.0020947949811876533,30.195,44.71,56.585,0.00209105514064456
2011-04-29,53.1425,0.002082528239555814,43.33,53.47,65.605,0.002082887119437271
2011-05-31,53.1425,0.002082528239555814,43.33,53.47,65.605,0.002082887119437271
2011-06-30,53.1425,0.002082528239555814,43.33,53.47,65.605,0.002082887119437271
2011-07-29,54.731000000000016,0.002082528239555814,44.705,54.67,67.68,0.00209105514064456
2011-08-31,54.731000000000016,0.002082528239555814,44.705,54.67,67.68,0.00209105514064456
2011-09-30,54.731000000000016,0.002082528239555814,44.705,54.67,67.68,0.00209105514064456
2011-10-31,43.35850000000001,0.002082528239555814,37.8,47.95,61.6,0.00209105514064456
2011-11-30,43.35850000000001,0.002082528239555814,37.8,47.95,61.6,0.00209105514064456
2011-12-30,43.35850000000001,0.002082528239555814,37.8,47.95,61.6,0.00209105514064456
2012-01-31,32.4535,0.002067099316279475,17.64,30.75,41.519999999999996,0.00209105514064456
2012-02-29,32.4535,0.002067099316279475,17.64,30.75,41.519999999999996,0.00209105514064456
2012-03-30,32.4535,0.002067099316279475,17.64,30.75,41.519999999999996,0.00209105514064456
2012-04-27,32.551500000000004,0.002078392649375116,24.62,30.86,38.66,0.002082887119437271
2012-05-31,32.551500000000004,0.002078392649375116,24.62,30.86,38.66,0.002082887119437271
2012-06-29,32.551500000000004,0.002078392649375116,24.62,30.86,38.66,0.002082887119437271
2012-07-31,39.166315789473686,0.0021036017661985595,30.65,37.18,44.84,0.002094629243935109
2012-08-31,39.166315789473686,0.0021036017661985595,30.65,37.18,44.84,0.002094629243935109
2012-09-28,39.166315789473686,0.0021036017661985595,30.65,37.18,44.84,0.002094629243935109
2012-10-31,42.429,0.0021034241684851017,25.475,38.1,47.545,0.0020974441606682603
2012-11-30,42.429,0.0021034241684851017,25.475,38.1,47.545,0.0020974441606682603
2012-12-31,42.429,0.0021034241684851017,25.475,38.1,47.545,0.0020974441606682603
2013-01-31,29.165000000000003,0.002139922418548896,16.65,25.54,40.98,0.00217605892066286
2013-02-28,29.165000000000003,0.002139922418548896,16.65,25.54,40.98,0.00217605892066286
2013-03-29,29.165000000000003,0.002139922418548896,16.65,25.54,40.98,0.00217605892066286
2013-04-26,34.37349999999999,0.002185052280030996,29.17,35.08,42.03,0.002181023766037904
2013-05-31,34.37349999999999,0.002185052280030996,29.17,35.08,42.03,0.002181023766037904
2013-06-28,34.37349999999999,0.002185052280030996,29.17,35.08,42.03,0.002181023766037904
2013-07-31,47.323000000000015,0.002157193909513423,31.59,42.71,56.91,0.002180136728707538
2013-08-30,47.323000000000015,0.002157193909513423,31.59,42.71,56.91,0.002180136728707538
2013-09-30,47.323000000000015,0.002157193909513423,31.59,42.71,56.91,0.002180136728707538
2013-10-31,36.755,0.002137100735869023,22.285,31.57,43.86,0.002181023766037904
2013-11-29,36.755,0.002137100735869023,22.285,31.57,43.86,0.002181023766037904
2013-12-31,36.755,0.002137100735869023,22.285,31.57,43.86,0.002181023766037904
2014-01-30,24.36210526315789,0.0021536090896751136,9.7825,18.4,30.267500000000002,0.0021714735607809565
2014-02-28,24.36210526315789,0.0021536090896751136,9.7825,18.4,30.267500000000002,0.0021714735607809565
2014-03-31,24.36210526315789,0.0021536090896751136,9.7825,18.4,30.267500000000002,0.0021714735607809565
2014-04-30,33.559999999999995,0.0021371939741861024,15.540000000000001,27.08,38.225,0.002172920232729081
