td_date,portfolio_bond_mean,portfolio,total_25,total_50,total_75,total
2010-01-29,32.907,2.5268084124805457,14.98,24.32,46.25,2.509266168773472
2010-02-26,32.907,2.5268084124805457,14.98,24.32,46.25,2.509266168773472
2010-03-31,32.907,2.5268084124805457,14.98,24.32,46.25,2.509266168773472
2010-04-30,57.12050000000001,2.5268084124805457,43.77,54.31,72.2,2.509266168773472
2010-05-31,57.12050000000001,2.5268084124805457,43.77,54.31,72.2,2.509266168773472
2010-06-30,57.12050000000001,2.5268084124805457,43.77,54.31,72.2,2.509266168773472
2010-07-30,61.93578947368421,2.508343998898584,52.8625,61.99,70.25999999999999,2.5071409807300604
2010-08-31,61.93578947368421,2.508343998898584,52.8625,61.99,70.25999999999999,2.5071409807300604
2010-09-30,61.93578947368421,2.508343998898584,52.8625,61.99,70.25999999999999,2.5071409807300604
2010-10-29,56.30749999999999,2.508343998898584,50.59,61.805,69.815,2.5071409807300604
2010-11-30,56.30749999999999,2.508343998898584,50.59,61.805,69.815,2.5071409807300604
2010-12-31,56.30749999999999,2.508343998898584,50.59,61.805,69.815,2.5071409807300604
2011-01-31,39.56099999999999,2.5137539774251847,30.195,44.71,56.585,2.509266168773472
2011-02-28,39.56099999999999,2.5137539774251847,30.195,44.71,56.585,2.509266168773472
2011-03-31,39.56099999999999,2.5137539774251847,30.195,44.71,56.585,2.509266168773472
2011-04-29,53.1425,2.4990338874669775,43.33,53.47,65.605,2.4994645433247253
2011-05-31,53.1425,2.4990338874669775,43.33,53.47,65.605,2.4994645433247253
2011-06-30,53.1425,2.4990338874669775,43.33,53.47,65.605,2.4994645433247253
2011-07-29,54.731000000000016,2.4990338874669775,44.705,54.67,67.68,2.509266168773472
2011-08-31,54.731000000000016,2.4990338874669775,44.705,54.67,67.68,2.509266168773472
2011-09-30,54.731000000000016,2.4990338874669775,44.705,54.67,67.68,2.509266168773472
2011-10-31,43.35850000000001,2.4990338874669775,37.8,47.95,61.6,2.509266168773472
2011-11-30,43.35850000000001,2.4990338874669775,37.8,47.95,61.6,2.509266168773472
2011-12-30,43.35850000000001,2.4990338874669775,37.8,47.95,61.6,2.509266168773472
2012-01-31,32.4535,2.48051917953537,17.64,30.75,41.519999999999996,2.509266168773472
