td_date,portfolio_bond_mean,portfolio,total_25,total_50,total_75,total
2010-01-29,60.577499999999986,0.002047720961133066,14.98,24.32,46.25,0.00209105514064456
2010-02-26,60.577499999999986,0.002047720961133066,14.98,24.32,46.25,0.00209105514064456
2010-03-31,60.577499999999986,0.002047720961133066,14.98,24.32,46.25,0.00209105514064456
2010-04-30,80.3425,0.0020809783582705467,43.77,54.31,72.2,0.00209105514064456
2010-05-31,80.3425,0.0020809783582705467,43.77,54.31,72.2,0.00209105514064456
2010-06-30,80.3425,0.0020809783582705467,43.77,54.31,72.2,0.00209105514064456
2010-07-30,77.69899999999998,0.0020255836857633732,52.8625,61.99,70.25999999999999,0.0020892841506083837
2010-08-31,78.03649999999999,0.0020255836857633732,52.8625,61.99,70.25999999999999,0.0020892841506083837
2010-09-30,78.03649999999999,0.0020255836857633732,52.8625,61.99,70.25999999999999,0.0020892841506083837
2010-10-29,74.889,0.0020764936921402353,50.59,61.805,69.815,0.0020892841506083837
2010-11-30,74.889,0.0020764936921402353,50.59,61.805,69.815,0.0020892841506083837
2010-12-31,74.889,0.0020764936921402353,50.59,61.805,69.815,0.0020892841506083837
2011-01-31,67.52649999999997,0.002099386668853942,30.195,44.71,56.585,0.00209105514064456
2011-02-28,67.52649999999997,0.002099386668853942,30.195,44.71,56.585,0.00209105514064456
2011-03-31,67.52649999999997,0.002099386668853942,30.195,44.71,56.585,0.00209105514064456
2011-04-29,75.533,0.0020525410961347887,43.33,53.47,65.605,0.002082887119437271
2011-05-31,75.533,0.0020525410961347887,43.33,53.47,65.605,0.002082887119437271
2011-06-30,75.533,0.0020525410961347887,43.33,53.47,65.605,0.002082887119437271
2011-07-29,77.03700000000002,0.0020818383440144193,44.705,54.67,67.68,0.00209105514064456
2011-08-31,77.03700000000002,0.0020818383440144193,44.705,54.67,67.68,0.00209105514064456
2011-09-30,77.03700000000002,0.0020818383440144193,44.705,54.67,67.68,0.00209105514064456
2011-10-31,72.87800000000001,0.0020801262365914065,37.8,47.95,61.6,0.00209105514064456
2011-11-30,72.87800000000001,0.0020801262365914065,37.8,47.95,61.6,0.00209105514064456
2011-12-30,72.87800000000001,0.0020801262365914065,37.8,47.95,61.6,0.00209105514064456
2012-01-31,49.49699999999999,0.0020431255337724115,17.64,30.75,41.519999999999996,0.00209105514064456
2012-02-29,49.49699999999999,0.0020431255337724115,17.64,30.75,41.519999999999996,0.00209105514064456
2012-03-30,49.49699999999999,0.0020431255337724115,17.64,30.75,41.519999999999996,0.00209105514064456
2012-04-27,46.351000000000006,0.002090480174627063,24.62,30.86,38.66,0.002082887119437271
2012-05-31,46.351000000000006,0.002090480174627063,24.62,30.86,38.66,0.002082887119437271
2012-06-29,46.351000000000006,0.002090480174627063,24.62,30.86,38.66,0.002082887119437271
2012-07-31,51.854000000000006,0.002158813736537002,30.65,37.18,44.84,0.002094629243935109
2012-08-31,51.854000000000006,0.002158813736537002,30.65,37.18,44.84,0.002094629243935109
2012-09-28,51.854000000000006,0.002158813736537002,30.65,37.18,44.84,0.002094629243935109
2012-10-31,57.2645,0.00207909771661422,25.475,38.1,47.545,0.0020974441606682603
2012-11-30,57.2645,0.00207909771661422,25.475,38.1,47.545,0.0020974441606682603
2012-12-31,57.2645,0.00207909771661422,25.475,38.1,47.545,0.0020974441606682603
2013-01-31,55.97399999999999,0.002173693074235128,16.65,25.54,40.98,0.00217605892066286
2013-02-28,55.97399999999999,0.002173693074235128,16.65,25.54,40.98,0.00217605892066286
2013-03-29,55.97399999999999,0.002173693074235128,16.65,25.54,40.98,0.00217605892066286
2013-04-26,62.088999999999984,0.002302078360932399,29.17,35.08,42.03,0.002181023766037904
2013-05-31,62.088999999999984,0.002302078360932399,29.17,35.08,42.03,0.002181023766037904
2013-06-28,62.088999999999984,0.002302078360932399,29.17,35.08,42.03,0.002181023766037904
2013-07-31,80.713,0.0022099391803061972,31.59,42.71,56.91,0.002180136728707538
2013-08-30,80.713,0.0022099391803061972,31.59,42.71,56.91,0.002180136728707538
2013-09-30,80.713,0.0022099391803061972,31.59,42.71,56.91,0.002180136728707538
2013-10-31,67.19800000000001,0.0021043116763731053,22.285,31.57,43.86,0.002181023766037904
2013-11-29,67.19800000000001,0.0021043116763731053,22.285,31.57,43.86,0.002181023766037904
2013-12-31,67.19800000000001,0.0021043116763731053,22.285,31.57,43.86,0.002181023766037904
2014-01-30,53.584,0.002273109725350047,9.7825,18.4,30.267500000000002,0.0021714735607809565
