date,total_asset,total_asset,total_asset,total_asset,total_asset,total_asset,total_asset,total_asset,total_asset,total_asset,total_asset,total_asset
portfolio_risk,risk_0,risk_1,risk_10,risk_2,risk_3,risk_4,risk_5,risk_6,risk_7,risk_8,risk_9,risk_none
date,,,,,,,,,,,,
2016-07-31,,,0.0,,,,,,3e-07,,,
2016-08-31,,3.47555e-05,0.00025548739999999996,,9.97309e-05,1.9961199999999998e-05,0.0015397282,,0.00010014539999999998,0.0001396727,,0.0005551431999999999
2016-09-30,,3.4813599999999995e-05,0.0031832715000000007,,9.9902e-05,1.9995e-05,0.0022877725,2.19587e-05,0.00030883010000000004,0.00019928779999999998,3.992e-05,0.0010748035
2016-10-31,,3.48214e-05,0.005244312000000001,,0.0001993618,7.983730000000001e-05,0.0024130198,0.0001453773,0.0110104955,0.0002686578,0.00025957329999999997,0.0031789693
2016-11-30,,3.48939e-05,0.007728136700000002,,0.00022907950000000001,0.00026413280000000004,0.0032114982,0.00024518559999999997,0.0124893918,0.0015778130000000002,0.0004229639,0.008450745800000001
2016-12-31,,3.46641e-05,0.010466046599999999,,0.00022620759999999999,0.00039889320000000006,0.0036960425999999994,0.0015950411999999996,0.013736463199999998,0.0018078576000000004,0.0009836203,0.009618648600000002
2017-01-31,,7.48303e-05,0.01517861399999999,1.99441e-05,0.0002461632,0.0007493844999999999,0.005428504600000002,0.004690748399999999,0.014986940200000003,0.008610911400000002,0.004023628,0.0106538208
2017-02-28,,9.602460000000002e-05,0.04757552249999999,0.0005626913,0.0004687875000000001,0.0028554272,0.011840546399999997,0.018723696499999998,0.02144213669999999,0.0265831543,0.007366375799999998,0.022055922600000007
2017-03-31,,0.0001161737,0.0946684462,0.0005836707,0.0008986370000000001,0.005686007600000003,0.019554353599999987,0.032153594099999995,0.035354835099999975,0.037377495600000005,0.025318475699999992,0.02823315629999999
2017-04-30,,0.0013044189,0.12102851360000011,0.0012042899,0.0018066674,0.007808293199999999,0.0333040572,0.04163495009999999,0.0400890968,0.04748353079999997,0.029425629899999996,0.019072014500000005
2017-05-31,,0.0021137083000000003,0.1707540114999998,0.0013484718,0.0028323821,0.010579202199999997,0.042983114700000026,0.05399201220000001,0.056541986199999984,0.06327639169999995,0.03420389649999999,0.012689777099999982
2017-06-30,,0.0046703245,0.24806448869999995,0.0013727576,0.0049839413,0.015367731700000001,0.06527835790000003,0.07777499299999992,0.07712475350000002,0.07986155420000005,0.03890588389999999,0.0053113204000000015
2017-07-31,,0.0022345750999999995,0.44443104019999996,0.0024713151,0.008625933800000003,0.028815323600000026,0.14203125100000047,0.18276238139999992,0.17757256789999984,0.1720508178,0.0558629724,0.0047314386
2017-08-31,,0.0043002278000000005,0.7085957292999983,0.0035254195999999995,0.018317778900000005,0.05033537799999998,0.2467827136999999,0.3422824396000001,0.2617659038000002,0.2956694432000001,0.12567055680000006,0.0036251833999999972
2017-09-30,,0.0067926236,0.9598311459000014,0.005828848699999999,0.0197640761,0.07395330200000003,0.3399233001999993,0.5522147960000006,0.4237539147999995,0.4309532968,0.1721873206999999,0.002204691899999999
2017-10-31,,0.008555362900000002,1.398583004400001,0.017802243299999996,0.02862284869999999,0.10540447310000006,0.4759315004,0.7395460922000012,0.5827292300000011,0.5629561281000004,0.23862926840000012,0.0022103344999999993
2017-11-30,,0.011167861400000001,2.2519222039999987,0.0257186526,0.030855491000000016,0.13483439520000004,0.7300611625000013,1.136174197800004,0.9002519569000014,0.8786491058000022,0.380882885,0.0021252658999999985
2017-12-31,,0.012221182499999997,2.7781551177999972,0.028382347999999998,0.04453983219999999,0.15199861240000018,0.808355096099999,1.3174005023000013,1.1074578883000021,1.070124629800001,0.4828884410999996,0.0019504982999999987
2018-01-31,,0.020832116700000004,3.749989786200004,0.029329395199999997,0.0777598713,0.21906732330000026,1.1077208067999982,1.8669809585999995,1.6063912726999998,1.5534385092000023,0.7643145410000008,0.0018331765999999986
2018-02-28,,0.016898335899999995,3.6316729965000083,0.0313712311,0.08322613429999995,0.21437265289999985,1.1488121740000017,1.9357271487,1.643221736799998,1.662462663400004,0.7500201136999985,0.0015875876999999988
2018-03-31,,0.020696222499999996,3.2184471628999995,0.03594921090000001,0.0855430795,0.20230226459999978,1.1472705982999984,1.9346765435,1.6766713209999933,1.6430176758999986,0.7321756533999998,0.0015808502999999994
2018-04-30,,0.022263461899999996,2.8856290793999855,0.03704820930000001,0.09397685120000004,0.22153997529999994,1.1918534592999983,2.051481894400001,1.6977221832999982,1.7138916683999994,0.7581177217000015,0.0015781077999999986
2018-05-31,,0.0224203806,3.206958883399997,0.046254560299999976,0.09340726969999988,0.22777495829999997,1.225090047999998,2.2548992439000006,1.8583138084000008,1.9041366867000047,0.8220215093999982,0.0015519008999999996
2018-06-30,,0.022427024900000002,3.219886219199998,0.0325663221,0.08803058039999999,0.22298605300000013,1.1965695654000001,2.2873170121999973,1.895567610100003,1.9947838641999989,0.8411206787000002,0.001534676799999999
2018-07-31,,0.0268078444,3.4307056994000007,0.03372635059999999,0.08868102170000007,0.2527793354000002,1.2558655995999992,2.520767924599997,2.0647219230000036,2.198281317500001,0.9226037958000002,0.0015046221999999994
2018-08-31,,0.029768707700000004,3.4841477196000046,0.042499705299999996,0.09039196130000003,0.26087254989999986,1.2477903614999997,2.5833997224000016,2.082534984100004,2.2911199880999997,0.9446695785999997,0.0014926157999999995
