ra_code,ra_name
002228,长城新优选混合C
002492,工银月月薪定期支付债券C
002488,汇添富稳健添利定开债券C
002284,长盛同裕纯债债券C
002500,德邦纯债9个月定开债券C
002471,泰达多元回报债券C
002422,新华信用增强债券C
002520,招商招瑞纯债发起式C
002572,长盛同泰债券C
002609,博时泰和债券C
002226,长城新视野混合C
002633,鑫元双债增强债券C
002678,国投瑞银和安债券C
002702,东方红汇阳债券C
002637,广发集裕债券C
002522,永赢双利债券C
002721,国寿安保尊利增强回报债C
000959,东吴鼎元债券C
002344,融通增益债券C
002652,东方红汇利债券C
002757,招商招兴纯债债券C
002675,中融融丰纯债债券C
002739,泓德裕康债券C
002766,新华双利债券C
002797,景顺长城景盈双利债券C
002865,广发安泽回报纯债债券C
002724,江信祺福债券C
002818,招商招恒纯债债券C
002888,民生加银鑫瑞债券C
002882,中加丰润纯债债券C
002897,东方臻馨债券C
002513,金鹰元安混合C
002786,中融融裕双利债券C
002928,长盛盛和纯债债券C
002902,财通资管积极收益债券C
002972,前海开源鼎安债券C
002933,圆信永丰强化收益债券C
002812,博时裕通纯债债券C
519323,浦银安盛盛元纯债债券C
003049,民生加银鑫盈债券C
002735,泓德裕荣纯债债券C
002995,招商招裕纯债债券C
002966,中海合嘉增强收益债券C
003130,信诚稳利债券C
003100,长盛盛景纯债债券C
003103,长盛盛裕纯债债券C
003168,前海开源鼎瑞债券C
002843,景顺长城景盈金利债券C
002529,泰康安益纯债债券C
003098,德邦德焕9个月定开债C
003177,德邦景颐债券C
003045,东方红战略精选混合C
003074,泰达宏利汇利债券C
675043,西部利得合享债券C
003157,招商招悦纯债债券C
003255,前海开源鼎裕债券C
003219,前海开源祥和债券C
003227,信诚稳健债券C
003237,信诚惠盈债券C
003134,易方达裕鑫债券C
002993,招商招元纯债债券C
675053,西部利得合赢债券C
519775,交银裕兴纯债债券C
003173,民生加银鑫安纯债债券C
003272,国联安鑫瑞混合C
003058,建信瑞盛添利混合C
003288,信诚稳益债券C
003278,信诚稳瑞债券C
003266,招商招坤纯债债券C
003274,安信永丰定开债券C
003328,万家鑫璟纯债债券C
003330,万家鑫安纯债债券C
002784,东方红价值精选混合C
003276,国联安鑫盈混合C
003222,新华丰利债券C
003357,嘉实稳祥纯债债券C
003383,民生加银鑫享债券C
003338,南方颐元债券发起式C
003377,广发中债7-10年指数C
