,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2011-10-31,519505.OF,2011-09-30,2011-10-24,41.93,1055002182.5,28.73,,710836051.84,3685641524.77,0.0017883782951524374
2011-10-31,050003.OF,2011-09-30,2011-10-26,36.12,6261322880.68,23.88,,4163296163.09,15967167580.41,0.0018867047627273426
2011-10-31,020007.OF,2011-09-30,2011-10-26,32.26,350361365.54,29.36,,180350784.83,931379441.22,0.0021535909638454864
2011-10-31,040003.OF,2011-09-30,2011-10-24,37.85,1866374519.56,27.31,,1060813313.16,5728457262.97,0.0016303265122936672
2011-10-31,560001.OF,2011-09-30,2011-10-26,34.6,38300135.0,18.97,,19024833.37,83866052.28,0.0014198155052511652
2011-10-31,320002.OF,2011-09-30,2011-10-24,66.11,243774354.51,18.36,,579999402.07,1681186366.06,0.0017568122646807183
2011-10-31,519998.OF,2011-09-30,2011-10-26,41.35,1179273488.91,27.72,,1179291196.5,3908463592.69,0.0020313468619965747
2011-10-31,217014.OF,2011-09-30,2011-10-25,62.35,320000920.0,28.56,,1081189909.99,3914063681.16,0.001895730827381481
2011-10-31,003003.OF,2011-09-30,2011-10-24,30.58,4612147303.92,26.98,,2621788176.72,11271933387.9,0.0018602282392068403
2011-10-31,162206.OF,2011-09-30,2011-10-25,81.62,20000150.0,0.73,,30012058.77,122611866.37,0.0019528983287613322
2011-10-31,530002.OF,2011-09-30,2011-10-26,47.86,639806799.71,19.77,,620248340.82,2028157870.92,0.002516181785490179
2011-10-31,121011.OF,2011-09-30,2011-10-26,19.53,1944399146.59,25.19,,388729452.5,3535059883.8,0.001914238275392055
2011-10-31,091005.OF,2011-09-30,2011-10-26,56.14,,42.75,,159846531.65,889425481.54,0.0019098526120235881
2011-10-31,253050.OF,2011-09-30,2011-10-26,76.21,19110148.67,10.21,,20022709.01,144099934.09,0.0016881920940932105
2011-10-31,340005.OF,2011-09-30,2011-10-25,21.15,114890582.34,37.95,,,282207660.01,0.0020674969791256714
2011-10-31,583101.OF,2011-09-30,2011-10-26,37.46,95000262.5,42.42,,170213651.08,573741947.61,0.002011396058290371
2011-10-31,100025.OF,2011-09-30,2011-10-26,39.83,771382557.07,29.47,,619872949.83,2583380278.86,0.0017861594821475535
2011-10-31,260202.OF,2011-09-30,2011-10-24,33.15,71800182.7,6.64,,,120088255.1,0.0022855029581945185
2011-10-31,460106.OF,2011-09-30,2011-10-24,19.0,50340540.51,32.25,,,105281785.6,0.002046303806856331
2011-10-31,240006.OF,2011-09-30,2011-10-24,52.07,626462259.69,12.74,,589864374.9,1809840309.58,0.0019381354312772991
2011-10-31,150005.OF,2011-09-30,2011-10-25,61.68,69600224.4,28.48,,329760168.29,794410818.39,0.0020493474903138242
2011-10-31,550010.OF,2011-09-30,2011-10-25,39.3,255400583.1,30.41,,260137280.46,863787982.99,0.0016824118712415181
2011-10-31,519508.OF,2011-09-30,2011-10-25,61.52,708801943.2,0.6,,679081181.9,1924834214.26,0.0019024923560950757
2011-10-31,202302.OF,2011-09-30,2011-10-24,56.74,2110597425.89,27.48,,4499795986.2,14217876465.17,0.0019848747634625408
2011-10-31,583001.OF,2011-09-30,2011-10-26,37.46,95000262.5,42.42,,170213651.08,573741947.61,0.001814011748230815
2011-10-31,128011.OF,2011-09-30,2011-10-26,19.53,1944399146.59,25.19,,388729452.5,3535059883.8,0.0021135144039023945
2011-10-31,400005.OF,2011-09-30,2011-10-26,44.57,108200522.3,17.68,,89877735.38,291445202.5,0.0017231505534507363
2011-10-31,519506.OF,2011-09-30,2011-10-24,41.93,1055002182.5,28.73,,710836051.84,3685641524.77,0.0019873993182233374
2011-10-31,519509.OF,2011-09-30,2011-10-25,43.84,70600305.9,25.96,,100094785.95,251118028.05,0.0019604243470934257
2011-10-31,288101.OF,2011-09-30,2011-10-24,44.91,304254376.39,22.85,,89625939.4,975062351.8,0.001969526724959536
2011-10-31,660107.OF,2011-09-30,2011-10-24,62.49,83540445.31,20.78,,199702636.7,535940738.3,0.0020682845482951073
2011-10-31,150015.OF,2011-09-30,2011-10-25,61.68,69600224.4,28.48,,329760168.29,794410818.39,0.0022464775834210027
2011-10-31,200003.OF,2011-09-30,2011-10-26,83.13,55813443.72,0.23,,149920872.0,359020763.17,0.001990730799945828
2011-10-31,240007.OF,2011-09-30,2011-10-24,52.07,626462259.69,12.74,,589864374.9,1809840309.58,0.0021358904867629924
2011-10-31,217004.OF,2011-09-30,2011-10-25,62.35,320000920.0,28.56,,1081189909.99,3914063681.16,0.0016980320214463607
2011-10-31,110016.OF,2011-09-30,2011-10-25,37.75,1574003561.0,30.95,,507769459.66,5177491813.85,0.001982545455257334
2011-10-31,160609.OF,2011-09-30,2011-10-25,77.94,90570454.36,14.54,,800295032.06,1499220762.3,0.0021096363787214134
2011-10-31,550011.OF,2011-09-30,2011-10-25,39.3,255400583.1,30.41,,260137280.46,863787982.99,0.0018811668683722527
2011-10-31,519510.OF,2011-09-30,2011-10-25,43.84,70600305.9,25.96,,100094785.95,251118028.05,0.00215855628228101
2011-10-31,482002.OF,2011-09-30,2011-10-26,58.62,209476837.58,33.54,,948108386.06,3077706525.27,0.0019382123876090507
2011-10-31,100028.OF,2011-09-30,2011-10-26,39.83,771382557.07,29.47,,619872949.83,2583380278.86,0.0019837938827154122
2011-10-31,660007.OF,2011-09-30,2011-10-24,62.49,83540445.31,20.78,,199702636.7,535940738.3,0.0018705099662930103
2011-10-31,460006.OF,2011-09-30,2011-10-24,19.0,50340540.51,32.25,,,105281785.6,0.0018489642076948698
2011-10-31,519517.OF,2011-09-30,2011-10-26,48.0,463001494.5,23.94,,450248345.97,1803355990.38,0.002278362021125524
2011-10-31,519589.OF,2011-09-30,2011-10-24,80.88,,17.53,,89931530.07,597978410.96,0.0018721681709263915
2011-10-31,310338.OF,2011-09-30,2011-10-25,25.7,17500000.0,43.6,,,58298319.89,0.0016660691767604874
2011-10-31,160606.OF,2011-09-30,2011-10-25,77.94,90570454.36,14.54,,800295032.06,1499220762.3,0.0019123261267850467
2011-10-31,070008.OF,2011-09-30,2011-10-24,43.49,3217616466.42,25.1,,2979945831.33,10603571250.85,0.0019037344743024764
2011-10-31,163303.OF,2011-09-30,2011-10-24,47.95,39300418.95,16.91,,39777811.13,114066005.77,
2011-10-31,110006.OF,2011-09-30,2011-10-25,37.75,1574003561.0,30.95,,507769459.66,5177491813.85,0.0017849826508335997
2011-10-31,080011.OF,2011-09-30,2011-10-26,32.58,241800722.71,27.66,,99802829.19,615179165.82,0.0018301327052077099
2011-10-31,37001B.OF,2011-09-30,2011-10-27,53.78,4590901440.0,2.92,,330064972.22,10770417465.38,0.0019281217789621774
