,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2017-09-29,004330.OF,2017-06-30,2017-07-21,66.44,1228830867.53,1.68,1607147106.25,640171442.0,3984507613.73,0.00200344756245574
2017-09-29,004494.OF,2017-06-30,2017-07-20,34.02,2431122431.67,18.8,1279947657.87,250516083.28,5181461982.71,0.0018631408044351705
2017-09-29,004056.OF,2017-06-30,2017-07-20,38.51,,61.15,1137042989.1,199662865.98,4633636632.68,0.001941029902559066
2017-09-29,675061.OF,2017-06-30,2017-07-21,20.78,5786671316.23,29.91,1543743152.08,304949647.35,12050806956.54,0.002010746185072243
2017-09-29,000863.OF,2017-06-30,2017-07-19,30.57,7674577404.78,29.87,3605251748.74,1399360506.07,19633238118.38,0.0019279864963872573
2017-09-29,511970.SH,2017-06-30,2017-07-19,34.16,4040832796.24,51.09,6716473940.06,,28123440000.43,0.001233075879499168
2017-09-29,519809.OF,2017-06-30,2017-07-20,10.2,80000600.0,47.92,,20000202.71,196069907.3,0.0016871826228730402
2017-09-29,004664.OF,2017-06-30,2017-07-01,,,,,,,0.0021370138302285735
2017-09-29,000912.OF,2017-06-30,2017-07-21,74.52,119007858.51,2.14,178722430.8,160026240.94,521725333.18,0.0017755623445978586
2017-09-29,519505.OF,2017-06-30,2017-07-20,18.77,2906748840.12,60.24,1735773081.97,450350142.56,15858280999.21,0.0017883782951524374
2017-09-29,003267.OF,2017-06-30,2017-07-21,61.09,1450778506.16,25.39,5972733912.07,149963511.09,10857607622.93,0.00187120050815337
2017-09-29,000605.OF,2017-06-30,2017-07-21,32.91,5101607104.83,46.61,6997119914.83,79986785.49,25529607215.45,0.0021021932184444037
2017-09-29,000686.OF,2017-06-30,2017-07-20,12.44,598750538.13,78.76,397540114.91,109997573.39,7129688896.91,0.0020888310503131002
2017-09-29,000872.OF,2017-06-30,2017-07-20,86.19,,13.56,1872087406.06,789762634.84,3285473154.84,0.0029417160060074554
2017-09-29,050003.OF,2017-06-30,2017-07-19,45.07,478201357.31,49.82,4195762593.45,199994238.69,11712507181.43,0.0018867047627273426
2017-09-29,000741.OF,2017-06-30,2017-07-21,59.75,294101266.15,33.61,3787743444.14,,6846642754.87,0.001735152329958023
2017-09-29,000203.OF,2017-06-30,2017-07-19,27.21,2873866163.99,9.26,636935350.81,219994020.02,4711858209.58,0.001462653350070564
2017-09-29,002894.OF,2017-06-30,2017-07-20,80.61,120700501.05,8.43,1041174548.49,,1390692273.42,0.0018634610401302432
2017-09-29,003816.OF,2017-06-30,2017-07-21,39.72,5173352999.25,43.16,6853450316.74,4241170800.61,33986605148.15,0.002200782061047901
2017-09-29,001991.OF,2017-06-30,2017-07-20,82.66,,15.07,187497658.6,129997626.26,420115577.36,0.0016287096615830166
