,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2011-09-30,519505.OF,2011-06-30,2011-07-20,49.28,823741835.61,26.12,,871289453.01,3483702542.98,0.0017883782951524374
2011-09-30,050003.OF,2011-06-30,2011-07-19,38.77,2276045454.06,14.93,,1465193998.17,5470700531.86,0.0018867047627273426
2011-09-30,020007.OF,2011-06-30,2011-07-19,86.3,57000325.5,4.32,,300565875.12,673612117.85,0.0021535909638454864
2011-09-30,040003.OF,2011-06-30,2011-07-20,68.92,1429893504.84,9.95,,3213577558.23,7166679826.83,0.0016303265122936672
2011-09-30,560001.OF,2011-06-30,2011-07-21,66.05,9000000.0,19.0,,21038381.74,62085490.74,0.0014198155052511652
2011-09-30,320002.OF,2011-06-30,2011-07-20,54.67,194830852.25,29.47,,460030511.82,1448701020.41,0.0017568122646807183
2011-09-30,519998.OF,2011-06-30,2011-07-19,44.97,1163728065.59,21.92,,1852717749.49,4119820876.79,0.0020313468619965747
2011-09-30,217014.OF,2011-06-30,2011-07-21,69.9,,26.92,,2200433297.57,4599409793.87,0.001895730827381481
2011-09-30,003003.OF,2011-06-30,2011-07-20,36.24,7724279932.81,22.28,,3784589536.02,19166554955.77,0.0018602282392068403
2011-09-30,162206.OF,2011-06-30,2011-07-21,67.56,60000330.0,0.35,,60023715.45,192644783.2,0.0019528983287613322
2011-09-30,530002.OF,2011-06-30,2011-07-20,64.42,519166818.75,9.47,,780398289.3,2128998271.28,0.002516181785490179
2011-09-30,121011.OF,2011-06-30,2011-07-19,30.89,1046202541.3,23.35,,490330414.07,2698890130.33,0.001914238275392055
2011-09-30,091005.OF,2011-06-30,2011-07-19,67.68,292401318.6,10.43,,290078779.41,1443412128.33,0.0019098526120235881
2011-09-30,253050.OF,2011-06-30,2011-07-19,93.86,,5.55,,50038380.64,191559597.74,0.0016881920940932105
2011-09-30,340005.OF,2011-06-30,2011-07-21,19.07,93000492.0,33.25,,20004814.26,209472176.78,0.0020674969791256714
2011-09-30,583101.OF,2011-06-30,2011-07-19,87.98,100000270.0,1.07,,520588669.82,1031053833.47,0.002011396058290371
2011-09-30,100025.OF,2011-06-30,2011-07-19,44.44,367101430.65,23.88,,360527712.75,1239462856.34,0.0017861594821475535
2011-09-30,260202.OF,2011-06-30,2011-07-20,34.46,93700215.55,18.94,,30006093.2,202836014.06,0.0022855029581945185
2011-09-30,460106.OF,2011-06-30,2011-07-20,18.26,53000405.0,25.24,,,109586882.8,0.002046303806856331
2011-09-30,240006.OF,2011-06-30,2011-07-20,50.9,386301339.45,22.69,,420257618.72,1499872495.82,0.0019381354312772991
2011-09-30,150005.OF,2011-06-30,2011-07-21,63.1,64500216.75,26.66,,240094255.27,666435096.67,0.0020493474903138242
2011-09-30,550010.OF,2011-06-30,2011-07-21,42.03,304000986.9,26.6,,340241792.01,1046764223.61,0.0016824118712415181
2011-09-30,519508.OF,2011-06-30,2011-07-21,71.64,423401235.1,0.77,,760184577.21,1680942904.27,0.0019024923560950757
2011-09-30,202302.OF,2011-06-30,2011-07-20,52.97,2639005238.5,25.64,,4419747124.94,14102942263.05,0.0019848747634625408
2011-09-30,583001.OF,2011-06-30,2011-07-19,87.98,100000270.0,1.07,,520588669.82,1031053833.47,0.001814011748230815
2011-09-30,128011.OF,2011-06-30,2011-07-19,30.89,1046202541.3,23.35,,490330414.07,2698890130.33,0.0021135144039023945
2011-09-30,400005.OF,2011-06-30,2011-07-19,42.09,117800656.7,0.09,,100088263.85,332906847.44,0.0017231505534507363
2011-09-30,519506.OF,2011-06-30,2011-07-20,49.28,823741835.61,26.12,,871289453.01,3483702542.98,0.0019873993182233374
2011-09-30,519509.OF,2011-06-30,2011-07-21,61.49,85000332.5,14.45,,160207350.32,488887519.3,0.0019604243470934257
2011-09-30,288101.OF,2011-06-30,2011-07-20,39.37,507811681.73,23.93,,229855574.99,1425345296.67,0.001969526724959536
2011-09-30,660107.OF,2011-06-30,2011-07-20,60.25,100000270.0,26.5,,340077781.06,963859887.33,0.0020682845482951073
2011-09-30,150015.OF,2011-06-30,2011-07-21,63.1,64500216.75,26.66,,240094255.27,666435096.67,0.0022464775834210027
2011-09-30,200003.OF,2011-06-30,2011-07-19,66.68,76020434.03,16.32,,210164729.75,540592447.11,0.001990730799945828
2011-09-30,240007.OF,2011-06-30,2011-07-20,50.9,386301339.45,22.69,,420257618.72,1499872495.82,0.0021358904867629924
2011-09-30,217004.OF,2011-06-30,2011-07-21,69.9,,26.92,,2200433297.57,4599409793.87,0.0016980320214463607
2011-09-30,110016.OF,2011-06-30,2011-07-21,68.5,553100476.55,22.87,,4648521293.03,9009086908.71,0.001982545455257334
2011-09-30,160609.OF,2011-06-30,2011-07-21,75.12,35000172.5,13.55,,1050645959.48,1924187418.9,0.0021096363787214134
2011-09-30,550011.OF,2011-06-30,2011-07-21,42.03,304000986.9,26.6,,340241792.01,1046764223.61,0.0018811668683722527
2011-09-30,519510.OF,2011-06-30,2011-07-21,61.49,85000332.5,14.45,,160207350.32,488887519.3,0.00215855628228101
2011-09-30,482002.OF,2011-06-30,2011-07-19,57.21,685001467.5,27.5,,1591589895.01,4776229938.29,0.0019382123876090507
2011-09-30,100028.OF,2011-06-30,2011-07-19,44.44,367101430.65,23.88,,360527712.75,1239462856.34,0.0019837938827154122
2011-09-30,660007.OF,2011-06-30,2011-07-20,60.25,100000270.0,26.5,,340077781.06,963859887.33,0.0018705099662930103
