,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2019-05-31,004330.OF,2019-03-31,2019-04-19,61.6,1450460811.79,0.59,1845968159.38,270495611.67,3906621320.19,0.00200344756245574
2019-05-31,004494.OF,2019-03-31,2019-04-20,43.03,1818632717.94,23.77,1957673117.56,19999386.22,5552118408.18,0.0018631408044351705
2019-05-31,004056.OF,2019-03-31,2019-04-20,51.91,3039898308.5,11.26,1953547548.64,1388649987.22,8318088178.02,0.001941029902559066
2019-05-31,675061.OF,2019-03-31,2019-04-18,34.95,7310082197.65,33.66,4202173428.59,2132853955.44,23922541519.43,0.002010746185072243
2019-05-31,000863.OF,2019-04-30,2019-05-10,43.55,3321463608.29,42.6,7980427934.09,1400499693.28,24596858197.31,0.0019279864963872573
2019-05-31,511970.SH,2019-03-31,2019-04-22,33.25,3834760672.14,36.29,3554765551.8,,12675353842.03,0.001233075879499168
2019-05-31,519809.OF,2019-03-31,2019-04-20,37.5,28975163.46,39.34,19759825.59,10015812.99,133026156.67,0.0016871826228730402
2019-05-31,004664.OF,2019-03-31,2019-04-22,86.46,78000180.0,10.48,2139495300.53,530306471.78,3307736717.84,0.0021370138302285735
2019-05-31,000912.OF,2019-03-31,2019-04-18,63.43,343469395.2,1.05,169411748.65,390603718.94,993585400.56,0.0017755623445978586
2019-05-31,519505.OF,2019-03-31,2019-04-20,15.71,3744003376.02,60.92,1243177477.22,440796685.26,17126473981.04,0.0017883782951524374
2019-05-31,003267.OF,2019-03-31,2019-04-18,51.98,2012389242.29,19.71,2983338130.36,350296392.72,7179671761.47,0.00187120050815337
2019-05-31,000605.OF,2019-03-31,2019-04-18,40.58,4289659564.5,37.84,5924087224.35,750159542.87,20441771891.12,0.0021021932184444037
2019-05-31,000686.OF,2019-03-31,2019-04-19,65.84,396450371.18,10.11,621076777.36,169950869.96,1741943233.83,0.0020888310503131002
2019-05-31,000872.OF,2019-03-31,2019-04-22,79.16,1535307822.96,0.08,814410160.15,3663337741.01,8044951614.54,0.0029417160060074554
2019-05-31,050003.OF,2019-03-31,2019-04-22,21.88,54132298783.32,48.53,31091856131.42,,184213820379.21,0.0018867047627273426
2019-05-31,000741.OF,2019-03-31,2019-04-18,72.43,1336909765.36,0.99,2674354294.65,450193338.97,5095482467.05,0.001735152329958023
