,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2017-04-28,675061.OF,2017-03-31,2017-04-21,19.26,4409401008.65,36.14,1274266995.03,149966015.33,10004933848.72,0.002010746185072243
2017-04-28,000863.OF,2017-03-31,2017-04-22,25.81,3676567394.85,39.12,1285377567.59,959717297.86,10718115543.43,0.0019279864963872573
2017-04-28,511970.SH,2017-03-31,2017-04-22,33.34,555954153.94,63.58,4497129356.85,,20307214278.65,0.001233075879499168
2017-04-28,519809.OF,2017-03-31,2017-04-24,12.51,119995979.99,45.74,19824656.35,20000536.55,318316856.28,0.0016871826228730402
2017-04-28,000912.OF,2017-03-31,2017-04-21,51.38,259321308.98,0.11,99053195.67,110003713.19,543406850.01,0.0017755623445978586
2017-04-28,519505.OF,2017-03-31,2017-04-24,26.23,748722843.08,67.57,2068251696.12,649749232.39,13218307509.3,0.0017883782951524374
2017-04-28,003267.OF,2017-03-31,2017-04-21,62.43,1159982579.33,24.0,4779821570.46,249901729.83,8744292339.06,0.00187120050815337
2017-04-28,000605.OF,2017-03-31,2017-04-21,27.28,1704031636.04,64.81,5315645022.87,109618490.6,23899421866.89,0.0021021932184444037
2017-04-28,000686.OF,2017-03-31,2017-04-22,9.63,538149487.22,84.97,436142681.03,,11170077728.57,0.0020888310503131002
2017-04-28,000872.OF,2017-03-31,2017-04-21,31.25,1178914688.38,17.24,428409284.28,219988529.21,2299995981.4,0.0029417160060074554
2017-04-28,050003.OF,2017-03-31,2017-04-22,40.15,1842730324.09,51.07,6202954783.36,569900478.29,21939960322.93,0.0018867047627273426
2017-04-28,000741.OF,2017-03-31,2017-04-21,45.9,689101473.65,46.35,3814219143.13,,9270721940.2,0.001735152329958023
2017-04-28,000203.OF,2017-03-31,2017-04-21,21.91,4076705127.55,10.08,496575138.0,489846360.99,6119626057.42,0.001462653350070564
2017-04-28,002894.OF,2017-03-31,2017-04-24,44.21,144752537.13,40.35,337856990.61,,945108191.65,0.0018634610401302432
2017-04-28,003816.OF,2017-03-31,2017-04-21,38.55,1564421899.15,55.54,5654665570.88,3505428021.98,29289119936.64,0.002200782061047901
2017-04-28,001991.OF,2017-03-31,2017-04-24,38.55,43670425.5,53.28,69088608.05,99981951.45,594455704.38,0.0016287096615830166
2017-04-28,519899.OF,2017-03-31,2017-04-21,22.86,80784561.18,67.43,197458478.86,,1127483851.01,0.001956849004509875
2017-04-28,090022.OF,2017-03-31,2017-04-21,38.6,199962819.94,51.7,366172223.18,414813868.63,2321625875.32,0.001872882405390408
2017-04-28,003317.OF,2017-03-31,2017-04-21,64.6,1360171300.25,3.32,2439632705.17,49999115.77,4271883580.49,0.002066499550359424
2017-04-28,001926.OF,2017-03-31,2017-04-21,38.47,1197691028.8,47.54,1391052882.56,1079588123.09,9216475096.62,0.0017731496044817163
2017-04-28,110050.OF,2017-03-31,2017-04-21,22.75,,76.73,206723488.7,,1128883971.14,0.0019770705253219223
2017-04-28,519801.OF,2017-03-31,2017-04-24,41.77,211741157.62,29.45,198514494.47,19978595.12,762005838.54,0.0018510932284727666
2017-04-28,004198.OF,2017-03-31,2017-04-24,4.98,12655839989.7,52.86,,,30121538326.32,0.0019390925854905205
2017-04-28,003536.OF,2017-03-31,2017-04-24,4.93,116368140.95,37.38,,,203005474.78,0.0020235266605046487
2017-04-28,000771.OF,2017-03-31,2017-04-24,28.99,2738674428.03,55.51,213707059.81,3866586297.34,18691064097.35,0.0017437684682131138
2017-04-28,020007.OF,2017-03-31,2017-04-22,36.13,100363470.55,62.42,3286457166.04,1049072885.65,13575562164.97,0.0021535909638454864
2017-04-28,519507.OF,2017-03-31,2017-04-21,20.69,4168611142.67,45.01,1783605962.03,,12263932260.47,0.0020996785942413165
2017-04-28,161622.OF,2017-03-31,2017-04-21,39.33,,60.37,3668976593.3,49923397.78,12325484188.8,0.002092655296282553
2017-04-28,002243.OF,2017-03-31,2017-04-21,39.28,,60.45,9890411.56,4995874.44,50591156.27,0.0019253451922431886
2017-04-28,202307.OF,2017-03-31,2017-04-24,40.97,1224702277.05,47.21,3103617288.5,449908834.79,10977648916.46,0.0019322874591971573
2017-04-28,001812.OF,2017-03-31,2017-04-24,25.84,1596403514.6,68.17,4312434678.64,1798571547.34,33309688482.09,0.0019041212872314972
2017-04-28,001788.OF,2017-03-31,2017-04-21,83.56,508088838.99,9.02,4584763566.23,916513033.53,7224579777.31,
2017-04-28,511920.SH,2017-03-31,2017-04-22,31.12,4299236888.86,43.5,2152381340.2,2429375577.74,17456765757.19,0.0017170287678383023
2017-04-28,040003.OF,2017-03-31,2017-04-24,33.06,2565430168.14,50.23,3647798502.15,589480522.26,15800871549.92,0.0016303265122936672
2017-04-28,511860.SH,2017-03-31,2017-04-22,48.89,203540825.31,42.56,953656537.97,,2502828513.29,0.0017321941485639591
2017-04-28,560001.OF,2017-03-31,2017-04-21,67.73,82000000.0,15.06,322947734.39,,476796805.45,0.0014198155052511652
2017-04-28,320002.OF,2017-03-31,2017-04-24,53.31,666002279.0,11.63,524301922.37,359553743.05,1920851606.23,0.0017568122646807183
2017-04-28,380010.OF,2017-03-31,2017-04-21,44.3,881727445.0,43.75,2667187029.87,239823210.16,7532246927.38,0.0021132105126724365
2017-04-28,002960.OF,2017-03-31,2017-04-22,35.96,,63.72,1041607598.89,,3370892776.61,0.0016947253406707219
