,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2011-03-31,519505.OF,2010-12-31,2011-01-21,37.89,2122912129.35,29.4,,1000637901.92,6553005397.27,0.0017883782951524374
2011-03-31,050003.OF,2010-12-31,2011-01-24,67.7,210001035.0,26.46,,1855120592.72,5146128373.67,0.0018867047627273426
2011-03-31,020007.OF,2010-12-31,2011-01-24,29.69,1394804045.7,22.9,,429851711.88,2957589392.67,0.0021535909638454864
2011-03-31,040003.OF,2010-12-31,2011-01-21,44.86,2016204814.51,30.4,,2311401109.18,9027062944.76,0.0016303265122936672
2011-03-31,560001.OF,2010-12-31,2011-01-21,40.49,15000000.0,41.93,,16014936.99,88960443.75,0.0014198155052511652
2011-03-31,320002.OF,2010-12-31,2011-01-21,53.32,629301978.95,2.05,,499968660.85,1429641471.82,0.0017568122646807183
2011-03-31,519998.OF,2010-12-31,2011-01-24,38.44,1736695405.04,25.18,,1351765373.2,4869038778.73,0.0020313468619965747
2011-03-31,217014.OF,2010-12-31,2011-01-22,43.03,3128953268.42,10.94,,1379231185.07,6885460720.98,0.001895730827381481
2011-03-31,003003.OF,2010-12-31,2011-01-21,45.89,3656006114.0,19.47,,3275909774.81,10947347709.41,0.0018602282392068403
2011-03-31,162206.OF,2010-12-31,2011-01-22,43.69,171000570.0,10.05,,100044189.96,504616953.37,0.0019528983287613322
2011-03-31,530002.OF,2010-12-31,2011-01-20,9.69,7216660552.98,16.32,,700356984.81,9800022821.27,0.002516181785490179
2011-03-31,121011.OF,2010-12-31,2011-01-24,16.0,2055404189.7,30.27,,320092994.44,3943275892.35,0.001914238275392055
2011-03-31,091005.OF,2010-12-31,2011-01-24,30.7,626321619.48,31.01,,100023517.74,1656861666.89,0.0019098526120235881
2011-03-31,340005.OF,2010-12-31,2011-01-22,23.31,148000552.0,31.21,,,342547765.15,0.0020674969791256714
2011-03-31,583101.OF,2010-12-31,2011-01-24,59.12,65094195.14,30.95,,160161705.67,771490268.9,0.002011396058290371
2011-03-31,100025.OF,2010-12-31,2011-01-24,33.21,341124943.62,42.56,,385436544.76,1432544684.05,0.0017861594821475535
2011-03-31,260202.OF,2010-12-31,2011-01-21,26.41,245000000.0,8.26,,50050182.94,379299589.68,0.0022855029581945185
2011-03-31,460106.OF,2010-12-31,2011-01-22,77.79,24000000.0,1.0,,,167126439.16,0.002046303806856331
2011-03-31,240006.OF,2010-12-31,2011-01-21,21.54,3578198887.29,16.39,,459189366.44,5800236279.57,0.0019381354312772991
2011-03-31,150005.OF,2010-12-31,2011-01-22,48.45,299999770.0,13.38,,159895887.62,825899696.86,0.0020493474903138242
2011-03-31,519508.OF,2010-12-31,2011-01-22,71.38,960002280.0,1.92,,1324922336.53,3677616725.22,0.0019024923560950757
2011-03-31,202302.OF,2010-12-31,2011-01-21,55.87,2489425694.13,19.92,,3481030492.24,10593877087.11,0.0019848747634625408
2011-03-31,583001.OF,2010-12-31,2011-01-24,59.12,65094195.14,30.95,,160161705.67,771490268.9,0.001814011748230815
2011-03-31,128011.OF,2010-12-31,2011-01-24,16.0,2055404189.7,30.27,,320092994.44,3943275892.35,0.0021135144039023945
2011-03-31,400005.OF,2010-12-31,2011-01-24,26.07,193200962.3,30.02,,80002783.73,537416143.97,0.0017231505534507363
2011-03-31,519506.OF,2010-12-31,2011-01-21,37.89,2122912129.35,29.4,,1000637901.92,6553005397.27,0.0019873993182233374
2011-03-31,288101.OF,2010-12-31,2011-01-21,56.58,100000390.0,18.69,,159623142.39,494470274.13,0.001969526724959536
2011-03-31,660107.OF,2010-12-31,2011-01-04,,,,,,,0.0020682845482951073
2011-03-31,150015.OF,2010-12-31,2011-01-22,48.45,299999770.0,13.38,,159895887.62,825899696.86,0.0022464775834210027
2011-03-31,200003.OF,2010-12-31,2011-01-24,78.54,,11.28,,99893131.6,305812192.9,0.001990730799945828
2011-03-31,240007.OF,2010-12-31,2011-01-21,21.54,3578198887.29,16.39,,459189366.44,5800236279.57,0.0021358904867629924
2011-03-31,217004.OF,2010-12-31,2011-01-22,43.03,3128953268.42,10.94,,1379231185.07,6885460720.98,0.0016980320214463607
2011-03-31,110016.OF,2010-12-31,2011-01-22,44.23,1075602493.4,26.02,,1441813003.75,3711199198.02,0.001982545455257334
2011-03-31,160609.OF,2010-12-31,2011-01-22,25.47,3257185699.77,24.34,,,6526204016.35,0.0021096363787214134
2011-03-31,482002.OF,2010-12-31,2011-01-24,71.63,544391134.25,17.86,,2020206352.02,5720727534.73,0.0019382123876090507
2011-03-31,100028.OF,2010-12-31,2011-01-24,33.21,341124943.62,42.56,,385436544.76,1432544684.05,0.0019837938827154122
2011-03-31,660007.OF,2010-12-31,2011-01-04,,,,,,,0.0018705099662930103
2011-03-31,460006.OF,2010-12-31,2011-01-22,77.79,24000000.0,1.0,,,167126439.16,0.0018489642076948698
2011-03-31,519517.OF,2010-12-31,2011-01-21,53.42,907162400.74,13.43,,795537566.85,2813645222.08,0.002278362021125524
2011-03-31,519589.OF,2010-12-31,2011-01-21,71.78,,27.52,,530317192.47,2246872772.15,0.0018721681709263915
2011-03-31,310338.OF,2010-12-31,2011-01-20,23.27,62200319.5,30.04,,,193601098.86,0.0016660691767604874
2011-03-31,160606.OF,2010-12-31,2011-01-22,25.47,3257185699.77,24.34,,,6526204016.35,0.0019123261267850467
2011-03-31,070008.OF,2010-12-31,2011-01-21,44.87,3790006885.0,23.01,,3709867837.01,11994508880.62,0.0019037344743024764
2011-03-31,163303.OF,2010-12-31,2011-01-21,33.98,230000270.0,20.39,,159737309.41,721774560.05,
2011-03-31,110006.OF,2010-12-31,2011-01-22,44.23,1075602493.4,26.02,,1441813003.75,3711199198.02,0.0017849826508335997
2011-03-31,080011.OF,2010-09-30,2010-10-25,95.4,,3.79,,,811623798.34,0.0018301327052077099
2011-03-31,37001B.OF,2010-12-31,2011-01-22,56.59,3190000000.0,3.72,,330150349.82,8248823586.23,0.0019281217789621774
2011-03-31,180009.OF,2010-12-31,2011-01-22,14.51,3875115895.17,2.78,,399996292.73,8195131380.9,0.002003238783225836
2011-03-31,163802.OF,2010-12-31,2011-01-22,50.73,1179542569.31,24.4,,1358758464.81,4974012069.72,0.0017413725623647291
2011-03-31,202301.OF,2010-12-31,2011-01-21,55.87,2489425694.13,19.92,,3481030492.24,10593877087.11,0.0017874854502359927
2011-03-31,161608.OF,2010-12-31,2011-01-21,57.57,30000165.0,0.45,,60011636.55,208063732.6,0.002091556102375769
2011-03-31,519999.OF,2010-12-31,2011-01-24,38.44,1736695405.04,25.18,,1351765373.2,4869038778.73,0.0018336589008196569
2011-03-31,519588.OF,2010-12-31,2011-01-21,71.78,,27.52,,530317192.47,2246872772.15,0.0016748009188123358
2011-03-31,392002.OF,2010-12-31,2011-01-21,8.63,3026602855.6,26.09,,220226022.69,4650261961.65,0.0018315876883236992
2011-03-31,180008.OF,2010-12-31,2011-01-22,14.51,3875115895.17,2.78,,399996292.73,8195131380.9,0.0018057101844524137
2011-03-31,370010.OF,2010-12-31,2011-01-22,56.59,3190000000.0,3.72,,330150349.82,8248823586.23,0.0017309661666236043
2011-03-31,519518.OF,2010-12-31,2011-01-21,53.42,907162400.74,13.43,,795537566.85,2813645222.08,0.002080240037750425
2011-03-31,410002.OF,2010-12-31,2011-01-21,68.65,117548518.27,12.61,,229686963.81,648951118.28,0.0018643988915081344
2011-03-31,260102.OF,2010-12-31,2011-01-21,26.41,245000000.0,8.26,,50050182.94,379299589.68,0.002094986321137471
2011-03-31,041003.OF,2010-12-31,2011-01-21,44.86,2016204814.51,30.4,,2311401109.18,9027062944.76,0.0018275188024579059
2011-03-31,213009.OF,2010-12-31,2011-01-24,70.39,,1.14,,109801091.23,552835085.67,0.0016993181765290188
2011-03-31,392001.OF,2010-12-31,2011-01-21,8.63,3026602855.6,26.09,,220226022.69,4650261961.65,0.0016334557360677682
2011-03-31,213909.OF,2010-12-31,2011-01-24,70.39,,1.14,,109801091.23,552835085.67,0.0018981208736925659
