,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2014-03-31,360022.OF,2013-12-31,2014-01-22,0.0,42000263.0,59.68,,,106022655.67,
2014-03-31,519809.OF,2013-12-31,2014-01-01,,,,,,,0.0016871826228730402
2014-03-31,519505.OF,2013-12-31,2014-01-20,42.05,60000660.0,44.91,,619984550.61,2678257971.96,0.0017883782951524374
2014-03-31,050003.OF,2013-12-31,2014-01-22,22.37,3066704970.95,64.87,,3803186941.14,27707157649.63,0.0018867047627273426
2014-03-31,000203.OF,2013-12-31,2014-01-22,11.31,1104811938.22,43.87,,129948742.81,2648329254.77,0.001462653350070564
2014-03-31,519899.OF,2013-12-31,2014-01-22,12.65,898100462.15,41.19,,280269470.68,3081698029.12,0.001956849004509875
2014-03-31,090022.OF,2013-12-31,2014-01-22,12.21,2488641655.97,37.8,,469867530.43,6543839685.31,0.001872882405390408
2014-03-31,110050.OF,2013-12-31,2014-01-21,20.68,,78.61,,149561192.3,1000336415.2,0.0019770705253219223
2014-03-31,519801.OF,2013-12-31,2014-01-20,27.57,28500134.25,63.22,,169883107.11,724896760.45,0.0018510932284727666
2014-03-31,020007.OF,2013-12-31,2014-01-22,15.82,218675893.01,69.85,,180034882.24,1642455361.33,0.0021535909638454864
2014-03-31,519507.OF,2013-12-31,2014-01-21,44.02,1752291078.45,28.83,,1939544972.96,8063232480.82,0.0020996785942413165
2014-03-31,519887.OF,2013-12-31,2014-01-22,12.57,,80.04,,,8702587.42,
2014-03-31,040003.OF,2013-12-31,2014-01-20,30.28,1893004240.1,40.45,,1759761990.15,7281100708.83,0.0016303265122936672
2014-03-31,560001.OF,2013-12-31,2014-01-21,35.77,1000000.0,62.14,,11488701.12,110322631.59,0.0014198155052511652
2014-03-31,320002.OF,2013-12-31,2014-01-20,17.97,2704852933.28,22.74,,520164254.45,5682009412.68,0.0017568122646807183
2014-03-31,380010.OF,2013-12-31,2014-01-21,5.98,419700949.55,90.94,,250021274.74,15710108701.66,0.0021132105126724365
2014-03-31,471007.OF,2013-12-31,2014-01-20,30.37,100900551.35,60.39,,249531638.03,1539067127.12,0.0017635715689741094
2014-03-31,000486.OF,2013-12-31,2014-01-01,,,,,,,
2014-03-31,519998.OF,2013-12-31,2014-01-22,13.23,2026703683.53,14.22,,231455861.18,2886529426.19,0.0020313468619965747
2014-03-31,519529.OF,2013-12-31,2014-01-20,0.0,47000000.0,21.44,,,59947483.63,
2014-03-31,217014.OF,2013-12-31,2014-01-21,41.51,835302852.95,53.8,,5219115265.85,22185799942.51,0.001895730827381481
2014-03-31,003003.OF,2013-12-31,2014-01-20,17.56,2999801200.0,74.03,,10000126.75,49506870610.28,0.0018602282392068403
2014-03-31,162206.OF,2013-12-31,2014-01-21,46.46,50100395.15,22.89,,39980085.89,171465569.1,0.0019528983287613322
2014-03-31,217026.OF,2013-12-31,2014-01-21,44.17,40000180.0,49.35,,219923847.06,787881679.36,0.0005787088161126608
2014-03-31,090021.OF,2013-12-31,2014-01-22,22.25,1251044276.57,45.22,,659978023.37,3995796480.43,0.0019390220783166434
2014-03-31,080019.OF,2013-12-31,2014-01-22,37.26,1400000.0,58.03,,,53680480.73,
2014-03-31,001057.OF,2013-12-31,2014-01-20,7.82,144500456.75,80.89,,39568323.33,1656103828.79,0.0020621006444208057
2014-03-31,530002.OF,2013-12-31,2014-01-20,10.31,11701364007.72,44.75,,1567450458.09,33722545802.39,0.002516181785490179
2014-03-31,519858.OF,2013-12-31,2014-01-01,,,,,,,0.0015858948442688536
2014-03-31,040038.OF,2013-12-31,2014-01-20,9.59,163101084.65,64.59,,49968094.46,729277130.0,0.0019907354217945095
2014-03-31,121011.OF,2013-12-31,2014-01-22,20.04,1490651875.99,31.51,,280095798.33,3143301021.95,0.001914238275392055
2014-03-31,091005.OF,2013-12-31,2014-01-22,9.85,6026277314.3,46.03,,1029896366.54,15604109319.39,0.0019098526120235881
2014-03-31,380008.OF,2013-12-31,2014-01-21,9.76,1683692904.63,61.12,,599086959.21,9518912389.59,0.0023439427189357875
2014-03-31,420006.OF,2013-12-31,2014-01-21,40.36,,50.82,,300143417.32,917061627.91,0.0019394401752563795
2014-03-31,000397.OF,2013-12-31,2014-01-01,,,,,,,0.0019292273472459875
2014-03-31,253050.OF,2013-12-31,2014-01-22,5.72,1595116894.18,46.92,,129973061.38,4190882556.6,0.0016881920940932105
2014-03-31,519501.OF,2013-12-31,2014-01-21,44.02,1752291078.45,28.83,,1939544972.96,8063232480.82,0.002108098637154665
2014-03-31,000371.OF,2013-12-31,2014-01-20,5.3,170400997.75,68.53,,,657681993.47,0.0021317038934638433
2014-03-31,340005.OF,2013-12-31,2014-01-21,24.79,568300133.5,48.35,,439831254.47,2176624135.68,0.0020674969791256714
2014-03-31,583101.OF,2013-12-31,2014-01-22,36.55,44000126.0,26.31,,30028439.6,123027931.27,0.002011396058290371
2014-03-31,740602.OF,2013-12-31,2014-01-22,22.04,115160972.74,50.03,,80022052.28,499139401.95,0.0019044385252311447
2014-03-31,000210.OF,2013-12-31,2014-01-22,12.22,62254766.88,61.65,,,244950140.82,0.0017743563770187265
2014-03-31,000037.OF,2013-12-31,2014-01-22,32.33,10000135.0,56.82,,40021415.22,123777619.56,0.0021041029102466524
2014-03-31,660116.OF,2013-12-31,2014-01-20,12.06,439381479.07,66.44,,170001777.96,3062217910.74,0.0
2014-03-31,163820.OF,2013-12-31,2014-01-21,23.41,5334847728.17,42.72,,1919217444.62,20794286802.56,0.0019389341152236117
2014-03-31,100025.OF,2013-12-31,2014-01-22,9.54,1160098580.15,28.92,,70055790.19,3477422704.89,0.0017861594821475535
2014-03-31,260202.OF,2013-12-31,2014-01-20,19.72,144400561.6,71.58,,299899069.73,1976669605.02,0.0022855029581945185
2014-03-31,460106.OF,2013-12-31,2014-01-20,12.68,949672695.06,71.32,,540145684.58,9701571392.19,0.002046303806856331
2014-03-31,240006.OF,2013-12-31,2014-01-20,29.21,507211680.82,56.82,,900188110.13,4042318196.97,0.0019381354312772991
2014-03-31,000009.OF,2013-12-31,2014-01-21,12.72,96000264.0,77.68,,459266068.37,6825465453.98,0.0019221726912330706
2014-03-31,150005.OF,2013-12-31,2014-01-21,19.93,406500937.26,60.72,,310368798.23,2459950343.91,0.0020493474903138242
2014-03-31,000132.OF,2013-12-31,2014-01-01,,,,,,,
2014-03-31,020030.OF,2013-12-31,2014-01-22,0.0,22000153.0,59.72,,,56238984.45,
2014-03-31,550010.OF,2013-12-31,2014-01-21,23.45,860253645.88,40.06,,559893243.74,2522585039.79,0.0016824118712415181
2014-03-31,472028.OF,2013-12-31,2014-01-20,27.17,7600000.0,67.74,,30008604.36,183063742.27,
2014-03-31,000301.OF,2013-12-31,2014-01-22,11.03,343597897.55,12.73,,39997409.77,452488720.04,0.0018295928942044792
2014-03-31,000089.OF,2013-12-31,2014-01-20,6.9,102601458.9,48.35,,,238737994.58,0.0023524493892248532
2014-03-31,519508.OF,2013-12-31,2014-01-21,44.02,1752291078.45,28.83,,1939544972.96,8063232480.82,0.0019024923560950757
2014-03-31,380001.OF,2013-12-31,2014-01-21,5.89,2684095032.54,61.31,,219955962.75,11027951526.03,0.002072138640764276
2014-03-31,710502.OF,2013-12-31,2014-01-21,12.31,19600149.4,81.15,,10000361.21,324682497.01,0.0019677121111962848
2014-03-31,270047.OF,2013-12-31,2014-01-22,37.74,8000000.0,57.58,,64976660.37,225158317.71,0.0022205505105208356
2014-03-31,000325.OF,2013-12-31,2014-01-22,0.0,33500000.0,80.29,,,369271059.7,0.0017957081541157827
2014-03-31,000331.OF,2013-12-31,2014-01-20,23.44,350000770.0,63.57,,221547140.89,3846400398.48,0.0018873102358594185
2014-03-31,202302.OF,2013-12-31,2014-01-20,20.24,1537343506.01,73.76,,5237333936.74,57272946557.15,0.0019848747634625408
2014-03-31,070036.OF,2013-12-31,2014-01-20,40.94,65000000.0,35.98,,70004038.35,317479901.26,0.002177345218928206
2014-03-31,583001.OF,2013-12-31,2014-01-22,36.55,44000126.0,26.31,,30028439.6,123027931.27,0.001814011748230815
2014-03-31,485120.OF,2013-12-31,2014-01-22,67.32,,30.21,,2528087086.28,4377053381.82,0.0024203343862305715
2014-03-31,750007.OF,2013-12-31,2014-01-22,9.6,59589329.39,82.36,,19997047.64,801023466.12,0.0018980776783634745
2014-03-31,270046.OF,2013-12-31,2014-01-22,37.74,8000000.0,57.58,,64976660.37,225158317.71,0.001981752873246645
2014-03-31,485118.OF,2013-12-31,2014-01-22,41.37,,54.57,,9234978307.54,27297075844.94,0.002224188504144742
2014-03-31,730103.OF,2013-12-31,2014-01-22,13.3,55500643.25,36.42,,9994925.22,112503513.77,0.001984981963962129
2014-03-31,000323.OF,2013-12-31,2014-01-01,,,,,,,0.0
2014-03-31,000300.OF,2013-12-31,2014-01-22,11.03,343597897.55,12.73,,39997409.77,452488720.04,0.0016319354258722552
2014-03-31,128011.OF,2013-12-31,2014-01-22,20.04,1490651875.99,31.51,,280095798.33,3143301021.95,0.0021135144039023945
2014-03-31,040042.OF,2013-12-31,2014-01-20,18.4,68500162.75,42.01,,30014004.77,217566270.93,
2014-03-31,730003.OF,2013-12-31,2014-01-22,13.3,55500643.25,36.42,,9994925.22,112503513.77,0.0017876616936023382
2014-03-31,050129.OF,2013-12-31,2014-01-22,19.21,23200148.8,38.0,,10000648.29,77938782.55,
2014-03-31,000464.OF,2013-12-31,2014-01-01,,,,,,,0.0019850651642046024
2014-03-31,159002.OF,2013-12-31,2014-01-21,55.77,225500287.75,14.04,,100004587.71,803414823.25,0.0020392822475550076
2014-03-31,400005.OF,2013-12-31,2014-01-22,36.92,380001490.0,26.61,,465121206.47,1691569238.16,0.0017231505534507363
2014-03-31,531029.OF,2013-12-31,2014-01-20,24.01,143900775.85,58.72,,164874627.31,894656780.64,0.0021649032831916326
2014-03-31,091023.OF,2013-12-31,2014-01-22,59.05,34920172.38,16.64,,79708471.65,151869306.93,0.0021545431439169427
2014-03-31,519888.OF,2013-12-31,2014-01-20,18.06,,57.79,,1290108044.37,10062926832.21,0.0015613378023202618
