,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2010-01-29,519505.OF,2009-12-31,2010-01-21,30.33,1316002894.0,57.74,,1719358660.93,11170773105.15,0.0017883782951524374
2010-01-29,050003.OF,2009-12-31,2010-01-20,24.32,2342844002.58,54.95,,1654186399.84,15142762402.08,0.0018867047627273426
2010-01-29,020007.OF,2009-12-31,2010-01-20,18.5,3312757267.63,32.8,,508618114.05,10359060436.29,0.0021535909638454864
2010-01-29,040003.OF,2009-12-31,2010-01-21,20.79,5245546309.82,47.02,,2220264453.89,16367965106.14,0.0016303265122936672
2010-01-29,560001.OF,2009-12-31,2010-01-22,46.25,,49.13,,14994053.33,118871876.53,0.0014198155052511652
2010-01-29,320002.OF,2009-12-31,2010-01-21,17.29,1692724696.96,26.17,,339123475.1,3001663174.79,0.0017568122646807183
2010-01-29,217014.OF,2009-12-31,2010-01-22,96.42,,3.29,,1099465310.72,3861405523.76,0.001895730827381481
2010-01-29,003003.OF,2009-12-31,2010-01-21,76.78,3500403360.0,1.43,,4157567158.13,16308559690.81,0.0018602282392068403
2010-01-29,162206.OF,2009-12-31,2010-01-20,22.94,795702033.55,48.8,,410084487.85,2864981113.53,0.0019528983287613322
2010-01-29,530002.OF,2009-12-31,2010-01-21,25.27,6248665347.99,12.56,,1247436741.01,12588015404.46,0.002516181785490179
2010-01-29,121011.OF,2009-12-31,2010-01-20,11.51,2717252212.73,13.09,,319719548.67,6250055063.65,0.001914238275392055
2010-01-29,091005.OF,2009-12-31,2010-01-20,8.27,3528707413.05,69.94,,300020492.24,16261502038.08,0.0019098526120235881
2010-01-29,340005.OF,2009-12-31,2010-01-22,20.25,235200792.8,61.42,,,1386627133.96,0.0020674969791256714
2010-01-29,100025.OF,2009-12-31,2010-01-20,13.31,1335000195.93,39.72,,270111700.17,2849537529.57,0.0017861594821475535
2010-01-29,460106.OF,2009-12-31,2010-01-22,50.36,48000000.0,22.99,,9995666.65,277733921.4,0.002046303806856331
2010-01-29,240006.OF,2009-12-31,2010-01-21,4.9,6245254930.88,32.33,,250301575.01,9958643588.52,0.0019381354312772991
2010-01-29,150005.OF,2009-12-31,2010-01-22,26.49,184100000.0,45.37,,29949888.34,1765472246.97,0.0020493474903138242
2010-01-29,519508.OF,2009-12-31,2010-01-22,69.24,,7.82,,560069434.1,2226511649.81,0.0019024923560950757
2010-01-29,202302.OF,2009-12-31,2010-01-21,63.41,680121380.18,25.46,,1969642185.95,6395151201.28,0.0019848747634625408
2010-01-29,128011.OF,2009-12-31,2010-01-20,11.51,2717252212.73,13.09,,319719548.67,6250055063.65,0.0021135144039023945
2010-01-29,400005.OF,2009-12-31,2010-01-20,51.18,81000158.0,11.39,,39993537.84,273698865.86,0.0017231505534507363
2010-01-29,519506.OF,2009-12-31,2010-01-21,30.33,1316002894.0,57.74,,1719358660.93,11170773105.15,0.0019873993182233374
2010-01-29,288101.OF,2009-12-31,2010-01-21,90.16,,9.43,,79967964.1,276967841.14,0.001969526724959536
2010-01-29,150015.OF,2009-12-31,2010-01-22,26.49,184100000.0,45.37,,29949888.34,1765472246.97,0.0022464775834210027
2010-01-29,200003.OF,2009-12-31,2010-01-20,35.04,,25.11,,50050462.0,228370996.24,0.001990730799945828
2010-01-29,240007.OF,2009-12-31,2010-01-21,4.9,6245254930.88,32.33,,250301575.01,9958643588.52,0.0021358904867629924
2010-01-29,217004.OF,2009-12-31,2010-01-22,96.42,,3.29,,1099465310.72,3861405523.76,0.0016980320214463607
2010-01-29,110016.OF,2009-12-31,2010-01-22,22.89,1829476784.21,28.6,,901785005.6,5247581466.47,0.001982545455257334
