,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2014-08-29,360022.OF,2014-06-30,2014-07-18,0.0,13699140.55,76.54,,,59631179.71,
2014-08-29,519809.OF,2014-06-30,2014-07-19,25.76,,70.47,,160173964.51,621846145.35,0.0016871826228730402
2014-08-29,519505.OF,2014-06-30,2014-07-19,40.47,,51.64,,1503293212.54,5316201388.95,0.0017883782951524374
2014-08-29,000605.OF,2014-06-30,2014-07-21,41.16,12000000.0,55.57,,160165445.86,462065677.79,0.0021021932184444037
2014-08-29,000643.OF,2014-06-30,2014-07-18,5.14,8600000.0,86.9,,,113071062.05,
2014-08-29,000686.OF,2014-06-30,2014-07-01,,,,,,,0.0020888310503131002
2014-08-29,050003.OF,2014-06-30,2014-07-18,39.37,,59.36,,12880318687.86,40049582070.98,0.0018867047627273426
2014-08-29,000203.OF,2014-06-30,2014-07-18,50.94,59900409.85,43.72,,430345615.95,1394348920.24,0.001462653350070564
2014-08-29,519899.OF,2014-06-30,2014-07-18,36.98,1057103932.6,29.12,,1170502602.52,4545048478.92,0.001956849004509875
2014-08-29,090022.OF,2014-06-30,2014-07-18,42.71,511352087.03,46.08,,1515700013.51,5073973752.27,0.001872882405390408
2014-08-29,110050.OF,2014-06-30,2014-07-21,60.12,,36.7,,1454280951.02,2801387556.45,0.0019770705253219223
2014-08-29,519801.OF,2014-06-30,2014-07-19,24.23,72900309.35,53.82,,110024310.38,866377606.28,0.0018510932284727666
2014-08-29,020007.OF,2014-06-30,2014-07-18,25.99,238061499.24,57.51,,321162553.28,1504582926.55,0.0021535909638454864
2014-08-29,519507.OF,2014-06-30,2014-07-21,68.9,440905431.36,20.33,,2240348470.26,5708090172.86,0.0020996785942413165
2014-08-29,519887.OF,2014-06-30,2014-07-17,0.0,4000000.0,38.88,,,6768999.1,
2014-08-29,040003.OF,2014-06-30,2014-07-19,39.11,19800149.7,57.32,,2740623502.99,8324109555.68,0.0016303265122936672
2014-08-29,560001.OF,2014-06-30,2014-07-21,26.1,54000000.0,40.33,,32520850.17,162857512.27,0.0014198155052511652
2014-08-29,320002.OF,2014-06-30,2014-07-19,58.13,1852909251.0,3.94,,2571854591.49,5181926237.08,0.0017568122646807183
2014-08-29,380010.OF,2014-06-30,2014-07-21,42.38,,56.49,,229986086.92,637128100.58,0.0021132105126724365
2014-08-29,471007.OF,2014-06-30,2014-07-19,43.34,50000195.0,49.72,,210596831.72,920492548.7,0.0017635715689741094
2014-08-29,000486.OF,2013-12-31,2014-01-01,,,,,,,
2014-08-29,000627.OF,2014-06-30,2014-07-01,,,,,,,0.002169019444771436
2014-08-29,000493.OF,2014-06-30,2014-07-19,38.22,,61.04,,401952192.78,1129854672.03,0.0020342390585375014
2014-08-29,519998.OF,2014-06-30,2014-07-18,14.28,849604234.4,21.8,,90503057.98,1342311096.2,0.0020313468619965747
2014-08-29,519529.OF,2014-06-30,2014-07-19,4.57,518000000.0,6.41,,,1093682562.7,
2014-08-29,217014.OF,2014-06-30,2014-07-21,23.37,8234010670.99,51.93,,5128939426.21,34832257783.17,0.001895730827381481
2014-08-29,000625.OF,2014-06-30,2014-07-19,28.68,136000645.0,37.75,,80216777.51,419456482.25,0.002035950614306614
2014-08-29,000651.OF,2014-06-30,2014-07-01,,,,,,,0.0018491488215572893
2014-08-29,003003.OF,2014-06-30,2014-07-19,15.7,693501120.0,82.72,,4989924313.18,102185068079.13,0.0018602282392068403
2014-08-29,162206.OF,2014-06-30,2014-07-21,50.89,362701544.05,18.74,,471566976.12,1240952546.8,0.0019528983287613322
2014-08-29,000495.OF,2014-06-30,2014-07-19,38.22,,61.04,,401952192.78,1129854672.03,0.0021310454445337967
2014-08-29,217026.OF,2014-06-30,2014-07-21,22.38,262938474.41,37.47,,109968957.83,669964923.92,0.0005787088161126608
2014-08-29,090021.OF,2014-06-30,2014-07-18,63.04,432782409.17,6.7,,831015630.66,1524715768.91,0.0019390220783166434
2014-08-29,080019.OF,2014-06-30,2014-07-18,5.65,2500000.0,87.0,,,35443519.03,
2014-08-29,001057.OF,2014-06-30,2014-07-19,25.4,50000195.0,70.15,,230371884.81,1301184596.86,0.0020621006444208057
2014-08-29,000542.OF,2014-06-30,2014-07-21,35.07,50000195.0,59.05,,330490898.87,1284916169.49,0.001990554070607553
2014-08-29,530002.OF,2014-06-30,2014-07-19,41.12,4869356565.91,35.88,,6716979167.27,22486922610.79,0.002516181785490179
2014-08-29,519858.OF,2014-06-30,2014-07-18,28.49,,59.77,,920261024.99,3757195857.76,0.0015858948442688536
2014-08-29,040038.OF,2014-06-30,2014-07-19,42.83,98700624.55,36.16,,220065578.95,560497948.18,0.0019907354217945095
2014-08-29,000683.OF,2014-06-30,2014-07-01,,,,,,,0.0016402746110601996
2014-08-29,000658.OF,2014-06-30,2014-07-01,,,,,,,0.0
2014-08-29,121011.OF,2014-06-30,2014-07-18,30.06,405701848.56,55.53,,681996465.96,3067526882.17,0.001914238275392055
2014-08-29,091005.OF,2014-06-30,2014-07-18,61.34,381200725.0,23.77,,2016955968.41,6224155478.57,0.0019098526120235881
2014-08-29,000476.OF,2014-06-30,2014-07-18,54.76,10000125.0,40.8,,179984173.02,328674508.74,0.0019996417757774942
2014-08-29,380008.OF,2014-06-30,2014-07-21,54.53,,44.15,,550457454.22,1210448621.15,0.0023439427189357875
2014-08-29,420006.OF,2014-06-30,2014-07-21,46.08,,51.24,,381243605.83,1023251305.76,0.0019394401752563795
2014-08-29,000397.OF,2014-06-30,2014-07-19,20.12,,79.03,,641611078.58,4574019794.59,0.0019292273472459875
2014-08-29,253050.OF,2014-06-30,2014-07-18,39.18,608300563.65,23.88,,600130361.11,1888504809.93,0.0016881920940932105
2014-08-29,519501.OF,2014-06-30,2014-07-21,68.9,440905431.36,20.33,,2240348470.26,5708090172.86,0.002108098637154665
2014-08-29,519567.OF,2014-06-30,2014-07-19,39.32,80000320.0,56.74,,851967407.28,2828305553.86,0.001925044283621835
2014-08-29,000371.OF,2014-06-30,2014-07-19,24.23,1737005509.5,55.23,,1050817398.02,8838689883.62,0.0021317038934638433
2014-08-29,340005.OF,2014-06-30,2014-07-21,46.56,,49.8,,430318980.45,1074584600.23,0.0020674969791256714
2014-08-29,583101.OF,2014-06-30,2014-07-18,43.75,39950129.98,28.53,,50114292.7,148660350.45,0.002011396058290371
2014-08-29,519512.OF,2014-06-30,2014-07-21,10.45,33600000.0,1.81,,,38420598.09,0.0013699176957659986
2014-08-29,740602.OF,2014-06-30,2014-07-18,52.71,,45.0,,411844305.26,1010022040.48,0.0019044385252311447
2014-08-29,000210.OF,2014-06-30,2014-07-18,51.14,,47.19,,70149698.51,176244884.94,0.0017743563770187265
2014-08-29,000037.OF,2014-06-30,2014-07-18,44.17,70000345.0,39.14,,190108009.98,475711235.91,0.0021041029102466524
2014-08-29,660116.OF,2014-06-30,2014-07-18,20.23,,77.62,,300076482.13,2765709090.78,0.0
2014-08-29,163820.OF,2014-06-30,2014-07-21,34.41,4471610616.03,54.91,,8659176870.15,44246916084.4,0.0019389341152236117
2014-08-29,100025.OF,2014-06-30,2014-07-18,40.9,260501070.75,51.98,,1161747089.68,3966873210.84,0.0017861594821475535
2014-08-29,260202.OF,2014-06-30,2014-07-19,59.12,171400919.1,25.11,,610676885.94,1218594044.69,0.0022855029581945185
2014-08-29,000539.OF,2014-06-30,2014-07-21,37.26,146970540.46,57.67,,1151602037.34,3628739898.45,0.0019927901565550687
2014-08-29,460106.OF,2014-06-30,2014-07-19,31.96,361551262.33,59.81,,1820061813.09,13544381196.2,0.002046303806856331
2014-08-29,240006.OF,2014-06-30,2014-07-18,38.97,190900686.35,57.34,,1549974551.74,6849420899.91,0.0019381354312772991
2014-08-29,000009.OF,2014-06-30,2014-07-21,45.8,1108882623.33,33.64,,3479336861.83,9756036317.55,0.0019221726912330706
2014-08-29,150005.OF,2014-06-30,2014-07-21,61.42,19000148.5,33.14,,1119548314.23,2197600822.49,0.0020493474903138242
2014-08-29,000132.OF,2014-06-30,2014-07-21,52.34,,44.56,,230312239.22,573701646.85,
2014-08-29,020030.OF,2014-06-30,2014-07-18,0.0,51805317.71,59.85,,,132036600.35,
2014-08-29,000682.OF,2014-06-30,2014-07-01,,,,,,,0.0019373827344639771
2014-08-29,550010.OF,2014-06-30,2014-07-21,41.15,251767865.88,45.77,,812085110.07,2312533976.11,0.0016824118712415181
2014-08-29,472028.OF,2014-06-30,2014-07-19,47.11,3000000.0,49.3,,40255696.06,137803508.51,
