,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2018-08-31,004330.OF,2018-06-30,2018-07-19,67.75,736759505.13,10.5,1950079964.2,240365955.1,3514079278.52,0.00200344756245574
2018-08-31,004494.OF,2018-06-30,2018-07-18,48.26,1945628420.91,20.72,2029335816.2,180085056.52,6360501211.38,0.0018631408044351705
2018-08-31,004056.OF,2018-06-30,2018-07-18,85.14,606000223.0,0.87,1947567844.35,990147254.86,4532089415.6,0.001941029902559066
2018-08-31,675061.OF,2018-06-30,2018-07-19,20.41,4298351903.37,47.69,1614761259.23,650672800.68,15214014892.69,0.002010746185072243
2018-08-31,000863.OF,2018-07-31,2018-08-07,53.69,5102163073.49,31.13,13712148531.28,1490633992.1,34593636245.01,0.0019279864963872573
2018-08-31,511970.SH,2018-06-30,2018-07-20,49.62,1540855591.29,37.31,4169114861.15,,12351598393.15,0.001233075879499168
2018-08-31,519809.OF,2018-06-30,2018-07-18,43.85,,54.72,29802056.3,9999291.49,159235546.83,0.0016871826228730402
2018-08-31,004664.OF,2018-06-30,2018-07-20,64.15,910864150.89,15.32,2169603632.4,430195168.06,4537393452.72,0.0021370138302285735
2018-08-31,000912.OF,2018-06-30,2018-07-19,63.06,419033108.55,0.08,466090339.86,190151787.15,1151642396.31,0.0017755623445978586
2018-08-31,519505.OF,2018-06-30,2018-07-18,29.17,1419336867.01,61.0,2799290002.25,660670259.05,16196574941.33,0.0017883782951524374
2018-08-31,003267.OF,2018-06-30,2018-07-19,60.32,2080573735.21,5.13,3318490321.05,,6083502024.6,0.00187120050815337
2018-08-31,000605.OF,2018-06-30,2018-07-19,40.8,3922343755.66,36.32,6434015842.83,760469529.87,19959036964.02,0.0021021932184444037
2018-08-31,000686.OF,2018-06-30,2018-07-18,58.96,379040698.56,27.0,1045513409.88,460076985.49,2943083130.54,0.0020888310503131002
2018-08-31,000872.OF,2018-06-30,2018-07-19,78.63,547541821.31,0.16,892083786.39,949994237.26,2660755450.41,0.0029417160060074554
2018-08-31,050003.OF,2018-06-30,2018-07-20,30.08,15470881152.37,60.29,41090029532.53,370002400.95,163779096739.75,0.0018867047627273426
