,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2018-10-31,004330.OF,2018-09-30,2018-10-24,62.89,1316133107.45,0.77,1450145891.16,370816784.88,3643752317.96,0.00200344756245574
2018-10-31,004494.OF,2018-09-30,2018-10-26,50.56,2307015140.55,14.7,1732370970.26,1021145431.48,6699465425.85,0.0018631408044351705
2018-10-31,004056.OF,2018-09-30,2018-10-26,63.48,1380000000.0,10.44,1726737751.89,979160526.93,5412380535.37,0.001941029902559066
2018-10-31,675061.OF,2018-09-30,2018-10-24,25.8,6976854572.28,35.52,1733192774.67,1602910102.11,18353925730.58,0.002010746185072243
2018-10-31,000863.OF,2018-09-30,2018-10-25,42.36,9050083724.82,26.89,9523241546.15,1080227392.18,29993226911.47,0.0019279864963872573
2018-10-31,511970.SH,2018-09-30,2018-10-25,29.72,4895163982.75,35.68,2319894843.24,,14332427937.7,0.001233075879499168
2018-10-31,519809.OF,2018-09-30,2018-10-26,39.45,39955284.93,28.08,,20040315.68,126742631.96,0.0016871826228730402
2018-10-31,004664.OF,2018-09-30,2018-10-25,79.76,255660823.49,15.43,3706297146.32,570634787.32,5913890087.76,0.0021370138302285735
2018-10-31,000912.OF,2018-09-30,2018-10-24,66.35,294101441.15,0.05,218002935.77,330721181.08,894886886.93,0.0017755623445978586
2018-10-31,519505.OF,2018-09-30,2018-10-26,25.32,7178878013.33,44.4,3537716819.01,1210137051.2,24187686926.27,0.0017883782951524374
2018-10-31,003267.OF,2018-09-30,2018-10-24,60.67,2219923325.0,6.11,2128074953.83,1600841546.74,6754166737.36,0.00187120050815337
2018-10-31,000605.OF,2018-09-30,2018-10-24,39.68,6203043384.55,33.36,5943558952.18,1902611435.67,23428368647.59,0.0021021932184444037
2018-10-31,000686.OF,2018-09-30,2018-10-26,61.74,199600000.0,28.39,840042723.01,420276427.03,2351086493.19,0.0020888310503131002
2018-10-31,000872.OF,2018-09-30,2018-10-25,64.1,1484324906.49,0.01,601702232.22,1291170743.03,4242550638.62,0.0029417160060074554
2018-10-31,050003.OF,2018-09-30,2018-10-25,27.86,18333829082.31,59.53,32459752710.04,200000028.8,147764769329.15,0.0018867047627273426
2018-10-31,000741.OF,2018-09-30,2018-10-24,62.41,1045523998.28,15.85,2555076531.14,29997176.46,4879603346.66,0.001735152329958023
2018-10-31,000203.OF,2018-09-30,2018-10-25,61.57,201950781.93,18.08,467016184.72,90094894.02,1013523681.1,0.001462653350070564
2018-10-31,002894.OF,2018-09-30,2018-10-26,60.93,747000000.0,2.98,965382583.58,190402027.04,2077386185.58,0.0018634610401302432
2018-10-31,003816.OF,2018-09-30,2018-10-24,48.81,16238867956.3,29.57,27566038008.65,5868961842.7,76259581095.46,0.002200782061047901
