,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2013-10-31,360022.OF,2013-09-30,2013-10-23,0.0,11500137.25,89.87,,,114956842.68,
2013-10-31,519505.OF,2013-09-30,2013-10-24,62.89,447351271.03,22.17,,1469931490.14,3205450566.93,0.0017883782951524374
2013-10-31,050003.OF,2013-09-30,2013-10-23,37.94,500000870.0,58.18,,5770010835.17,18141493543.43,0.0018867047627273426
2013-10-31,000203.OF,2013-09-30,2013-10-23,25.86,,73.55,,109901705.01,540678271.88,0.001462653350070564
2013-10-31,519899.OF,2013-09-30,2013-10-23,37.67,194000000.0,40.6,,259527986.3,1060922879.6,0.001956849004509875
2013-10-31,090022.OF,2013-09-30,2013-10-23,36.46,,62.71,,149794886.13,520281297.14,0.001872882405390408
2013-10-31,110050.OF,2013-09-30,2013-10-25,85.99,,12.01,,129781513.06,183804274.12,0.0019770705253219223
2013-10-31,519801.OF,2013-09-30,2013-10-24,17.56,98800588.2,73.55,,169857840.52,1478685199.9,0.0018510932284727666
2013-10-31,020007.OF,2013-09-30,2013-10-23,38.07,136270764.41,46.77,,280153797.53,972181783.21,0.0021535909638454864
2013-10-31,519507.OF,2013-09-30,2013-10-25,50.29,1601303441.95,31.2,,2904451680.87,8993739209.19,0.0020996785942413165
2013-10-31,519887.OF,2013-09-30,2013-10-24,24.96,3000000.0,49.01,,,27256980.65,
2013-10-31,040003.OF,2013-09-30,2013-10-24,36.7,,58.82,,2239839781.82,8461398367.37,0.0016303265122936672
2013-10-31,560001.OF,2013-09-30,2013-10-25,68.5,10900000.0,7.54,,20512616.44,70781484.77,0.0014198155052511652
2013-10-31,320002.OF,2013-09-30,2013-10-24,22.26,3061187741.7,32.8,,689947350.51,6878626431.38,0.0017568122646807183
2013-10-31,380010.OF,2013-09-30,2013-10-25,31.29,19800149.7,65.41,,210487319.96,832309437.1,0.0021132105126724365
2013-10-31,471007.OF,2013-09-30,2013-10-24,0.0,,96.73,,,2338544665.89,0.0017635715689741094
2013-10-31,519998.OF,2013-09-30,2013-10-23,46.41,1112753280.38,0.4,,421551270.2,2260511696.82,0.0020313468619965747
2013-10-31,519529.OF,2013-09-30,2013-10-24,11.19,70000000.0,9.98,,,89225562.65,
2013-10-31,217014.OF,2013-09-30,2013-10-25,29.06,50000195.0,70.28,,5588909253.58,32856567794.98,0.001895730827381481
2013-10-31,003003.OF,2013-09-30,2013-10-24,23.67,,75.47,,4340150067.31,54240444670.81,0.0018602282392068403
2013-10-31,162206.OF,2013-09-30,2013-10-25,63.21,,35.84,,109976657.82,300079421.19,0.0019528983287613322
2013-10-31,217026.OF,2013-09-30,2013-10-25,36.83,,62.61,,339899059.37,1382797978.17,0.0005787088161126608
2013-10-31,090021.OF,2013-09-30,2013-10-23,54.82,,43.79,,329831239.24,656314420.11,0.0019390220783166434
2013-10-31,080019.OF,2013-09-30,2013-10-23,46.44,26608268.81,31.59,,,129247136.84,
2013-10-31,001057.OF,2013-09-30,2013-10-24,11.38,10000135.0,87.45,,89980152.24,1491641028.01,0.0020621006444208057
2013-10-31,530002.OF,2013-09-30,2013-10-24,16.48,4337374789.32,46.26,,729947484.82,11795035543.71,0.002516181785490179
2013-10-31,040038.OF,2013-09-30,2013-10-24,42.14,,51.05,,79947098.53,237172774.21,0.0019907354217945095
2013-10-31,121011.OF,2013-09-30,2013-10-23,29.26,,70.04,,670614599.66,3660948868.67,0.001914238275392055
2013-10-31,091005.OF,2013-09-30,2013-10-23,11.2,3741461737.19,63.11,,1119898942.51,14730873053.88,0.0019098526120235881
2013-10-31,380008.OF,2013-09-30,2013-10-25,23.16,370500755.75,56.88,,309999772.55,1899686583.67,0.0023439427189357875
2013-10-31,420006.OF,2013-09-30,2013-10-25,47.02,134600721.9,36.63,,351188201.65,895642858.55,0.0019394401752563795
2013-10-31,253050.OF,2013-09-30,2013-10-23,12.61,451617837.46,53.51,,109994373.7,1346203916.72,0.0016881920940932105
2013-10-31,519501.OF,2013-09-30,2013-10-25,50.29,1601303441.95,31.2,,2904451680.87,8993739209.19,0.002108098637154665
2013-10-31,340005.OF,2013-09-30,2013-10-25,26.98,20700130.35,71.42,,490244006.44,2184838038.67,0.0020674969791256714
2013-10-31,583101.OF,2013-09-30,2013-10-23,49.89,38640359.56,18.16,,40051446.24,130475856.34,0.002011396058290371
2013-10-31,740602.OF,2013-09-30,2013-10-25,24.25,86600449.9,57.13,,90124831.49,495460431.82,0.0019044385252311447
2013-10-31,000037.OF,2013-09-30,2013-10-23,28.62,20600150.9,52.35,,39999836.46,139783592.39,0.0021041029102466524
2013-10-31,660116.OF,2013-09-30,2013-10-24,17.95,691002516.51,42.67,,150003155.71,1777067514.41,0.0
