,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2018-01-31,004330.OF,2017-12-31,2018-01-19,76.91,442185289.27,8.52,1903723697.29,320436640.74,3125751416.2,0.00200344756245574
2018-01-31,004494.OF,2017-12-31,2018-01-22,60.44,346930480.4,32.8,2880554170.94,69998431.36,5493894567.53,0.0018631408044351705
2018-01-31,004056.OF,2017-12-31,2018-01-22,79.53,500000950.0,10.15,2830810705.75,889151127.62,4991356901.15,0.001941029902559066
2018-01-31,675061.OF,2017-12-31,2018-01-19,27.64,3406295410.64,42.9,2273042782.32,390360440.86,11848758589.74,0.002010746185072243
2018-01-31,000863.OF,2017-12-31,2018-01-20,46.03,5582751223.81,34.59,10758906587.18,999964430.54,29401838776.93,0.0019279864963872573
2018-01-31,511970.SH,2017-12-31,2018-01-20,45.45,5790976966.48,27.26,5304126915.58,,21717269040.81,0.001233075879499168
2018-01-31,519809.OF,2017-12-31,2018-01-22,44.79,29516284.27,27.52,49525916.98,19981923.46,155188621.84,0.0016871826228730402
2018-01-31,004664.OF,2017-12-31,2018-01-19,44.09,993014568.06,22.72,1249523084.12,,3195463052.4,0.0021370138302285735
2018-01-31,000912.OF,2017-12-31,2018-01-19,80.91,114235691.36,0.06,285053131.25,179998411.49,624247582.61,0.0017755623445978586
2018-01-31,519505.OF,2017-12-31,2018-01-22,26.34,5524034486.04,46.05,4213467554.83,280006460.24,21157006091.84,0.0017883782951524374
2018-01-31,003267.OF,2017-12-31,2018-01-20,56.65,5532047661.9,8.31,8433554668.17,,16237144090.55,0.00187120050815337
2018-01-31,000605.OF,2017-12-31,2018-01-19,30.39,7353050029.53,45.33,8178811831.27,,31746071757.19,0.0021021932184444037
2018-01-31,000686.OF,2017-12-31,2018-01-22,21.26,1042576235.34,54.18,684439667.78,,4486936532.17,0.0020888310503131002
2018-01-31,000872.OF,2017-12-31,2018-01-19,98.83,,0.22,673704409.88,1129951330.97,2047483590.0,0.0029417160060074554
