,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2016-09-30,000863.OF,2016-06-30,2016-07-20,51.1,,48.12,5665765819.69,2659507020.3,19377001645.53,0.0019279864963872573
2016-09-30,519809.OF,2016-06-30,2016-07-21,30.3,,67.49,109573372.63,49982332.34,625495023.28,0.0016871826228730402
2016-09-30,000912.OF,2016-06-30,2016-07-19,30.69,625674498.52,16.4,49915304.24,246268255.86,1193290918.62,0.0017755623445978586
2016-09-30,519505.OF,2016-06-30,2016-07-21,29.09,2204536106.81,59.56,1398287747.63,3449097206.62,21172174966.84,0.0017883782951524374
2016-09-30,000605.OF,2016-06-30,2016-07-19,54.76,210606355.91,20.2,189119325.89,241822834.82,871022255.87,0.0021021932184444037
2016-09-30,000686.OF,2016-06-30,2016-07-21,32.7,,66.34,118778558.13,39872353.97,698555385.61,0.0020888310503131002
2016-09-30,000872.OF,2016-06-30,2016-07-20,56.97,1051902545.85,3.66,988888840.98,479889156.08,2684663869.58,0.0029417160060074554
2016-09-30,050003.OF,2016-06-30,2016-07-20,58.54,1200002070.0,39.05,37579302464.07,13715070209.84,97402274087.95,0.0018867047627273426
2016-09-30,000741.OF,2016-06-30,2016-07-21,50.43,4047047403.16,36.34,8957516218.71,5021546646.95,31519534260.38,0.001735152329958023
2016-09-30,000203.OF,2016-06-30,2016-07-20,22.68,2546777240.16,47.52,593364102.45,1030708727.4,9563850654.06,0.001462653350070564
2016-09-30,001991.OF,2016-06-30,2016-07-20,39.55,972800219.19,36.26,1208146731.59,169955101.22,4143094546.97,0.0016287096615830166
2016-09-30,519899.OF,2016-06-30,2016-07-20,27.49,230698560.97,55.17,328593806.56,209889799.87,2395143294.2,0.001956849004509875
2016-09-30,090022.OF,2016-06-30,2016-07-20,63.54,625171313.76,17.18,318532223.6,1624902641.66,3578960991.07,0.001872882405390408
2016-09-30,001926.OF,2016-06-30,2016-07-19,28.22,1758099648.05,64.68,2777848063.0,2799163431.16,26247530204.0,0.0017731496044817163
2016-09-30,110050.OF,2016-06-30,2016-07-19,48.45,30361245.54,43.04,157897167.1,119801160.58,655742085.76,0.0019770705253219223
2016-09-30,519801.OF,2016-06-30,2016-07-21,29.38,132000186.0,57.4,198454940.18,69870082.67,1151611867.48,0.0018510932284727666
2016-09-30,000771.OF,2016-06-30,2016-07-21,31.64,1458828148.24,61.4,,5928417356.94,22747881164.28,0.0017437684682131138
2016-09-30,020007.OF,2016-06-30,2016-07-20,38.48,1530614055.92,51.55,,5875015897.81,17242793236.37,0.0021535909638454864
