,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2010-07-30,519505.OF,2010-06-30,2010-07-21,49.5,1250402315.6,27.51,,1350296488.89,6141977086.96,0.0017883782951524374
2010-07-30,050003.OF,2010-06-30,2010-07-20,67.72,950001865.0,14.69,,2190646856.11,6186264462.63,0.0018867047627273426
2010-07-30,020007.OF,2010-06-30,2010-07-20,56.98,199200238.8,20.7,,279521324.92,946379186.09,0.0021535909638454864
2010-07-30,040003.OF,2010-06-30,2010-07-21,78.28,440001380.0,13.52,,2152237306.66,6567358593.07,0.0016303265122936672
2010-07-30,560001.OF,2010-06-30,2010-07-19,41.39,,58.18,,10024428.25,72492121.34,0.0014198155052511652
2010-07-30,320002.OF,2010-06-30,2010-07-21,62.59,270000845.0,5.74,,349585145.07,912698936.8,0.0017568122646807183
2010-07-30,217014.OF,2010-06-30,2010-07-19,58.7,1099001118.5,5.77,,1040021327.06,3914152151.63,0.001895730827381481
2010-07-30,003003.OF,2010-06-30,2010-07-21,57.94,3777196649.99,10.26,,3037955173.94,12300009497.13,0.0018602282392068403
2010-07-30,162206.OF,2010-06-30,2010-07-19,56.88,110000565.0,22.71,,130128694.0,561966527.81,0.0019528983287613322
2010-07-30,530002.OF,2010-06-30,2010-07-21,63.02,801001419.0,0.21,,730695897.33,2248758329.71,0.002516181785490179
2010-07-30,121011.OF,2010-06-30,2010-07-20,69.0,169900694.85,3.02,,190025271.46,711282778.98,0.001914238275392055
2010-07-30,091005.OF,2010-06-30,2010-07-20,69.96,200000420.0,18.06,,440560679.41,1806300492.43,0.0019098526120235881
2010-07-30,340005.OF,2010-06-30,2010-07-19,66.58,,31.64,,,344873768.33,0.0020674969791256714
2010-07-30,583101.OF,2010-06-30,2010-07-01,,,,,,,0.002011396058290371
2010-07-30,100025.OF,2010-06-30,2010-07-20,53.44,777258729.65,3.13,,485579640.29,1879038686.94,0.0017861594821475535
2010-07-30,260202.OF,2010-06-30,2010-07-21,61.94,60000000.0,6.53,,40070262.65,193586679.5,0.0022855029581945185
2010-07-30,460106.OF,2010-06-30,2010-07-19,77.1,28000000.0,2.54,,,142605372.88,0.002046303806856331
2010-07-30,240006.OF,2010-06-30,2010-07-21,49.96,220000540.0,23.18,,300621709.66,1622153569.02,0.0019381354312772991
2010-07-30,150005.OF,2010-06-30,2010-07-19,61.99,306400979.6,6.51,,200452452.21,987387434.47,0.0020493474903138242
2010-07-30,519508.OF,2010-06-30,2010-07-19,73.81,734512181.77,3.48,,1055295936.17,3430661096.29,0.0019024923560950757
2010-07-30,202302.OF,2010-06-30,2010-07-21,69.78,532201358.3,15.51,,3361313166.48,7753264206.01,0.0019848747634625408
2010-07-30,583001.OF,2010-06-30,2010-07-01,,,,,,,0.001814011748230815
2010-07-30,128011.OF,2010-06-30,2010-07-20,69.0,169900694.85,3.02,,190025271.46,711282778.98,0.0021135144039023945
2010-07-30,400005.OF,2010-06-30,2010-07-20,69.26,29400164.1,0.02,,50073992.89,246363575.7,0.0017231505534507363
2010-07-30,519506.OF,2010-06-30,2010-07-21,49.5,1250402315.6,27.51,,1350296488.89,6141977086.96,0.0019873993182233374
2010-07-30,288101.OF,2010-06-30,2010-07-21,72.75,110000405.0,0.33,,140246067.48,426879297.96,0.001969526724959536
2010-07-30,150015.OF,2010-06-30,2010-07-19,61.99,306400979.6,6.51,,200452452.21,987387434.47,0.0022464775834210027
2010-07-30,200003.OF,2010-06-30,2010-07-20,83.13,60000000.0,1.26,,150457504.94,411343999.25,0.001990730799945828
2010-07-30,240007.OF,2010-06-30,2010-07-21,49.96,220000540.0,23.18,,300621709.66,1622153569.02,0.0021358904867629924
2010-07-30,217004.OF,2010-06-30,2010-07-19,58.7,1099001118.5,5.77,,1040021327.06,3914152151.63,0.0016980320214463607
2010-07-30,110016.OF,2010-06-30,2010-07-19,43.29,716501794.75,31.87,,1183147946.41,3009362475.23,0.001982545455257334
2010-07-30,160609.OF,2010-06-30,2010-07-19,43.26,791952033.43,8.52,,,2112582683.46,0.0021096363787214134
2010-07-30,482002.OF,2010-06-30,2010-07-20,83.8,,14.1,,1752204153.44,5891580448.14,0.0019382123876090507
2010-07-30,100028.OF,2010-06-30,2010-07-20,53.44,777258729.65,3.13,,485579640.29,1879038686.94,0.0019837938827154122
2010-07-30,460006.OF,2010-06-30,2010-07-19,77.1,28000000.0,2.54,,,142605372.88,0.0018489642076948698
2010-07-30,519517.OF,2010-06-30,2010-07-21,51.99,400001080.0,25.99,,870863081.67,3661680973.92,0.002278362021125524
2010-07-30,519589.OF,2010-06-30,2010-07-21,89.19,,9.82,,640696644.34,3869654897.78,0.0018721681709263915
2010-07-30,310338.OF,2010-06-30,2010-07-19,42.65,60000165.0,5.4,,40036397.25,175774391.56,0.0016660691767604874
2010-07-30,160606.OF,2010-06-30,2010-07-19,43.26,791952033.43,8.52,,,2112582683.46,0.0019123261267850467
2010-07-30,070008.OF,2010-06-30,2010-07-21,59.41,1432702854.0,18.41,,2046647226.78,7217213480.08,0.0019037344743024764
2010-07-30,163303.OF,2010-06-30,2010-07-21,69.87,,27.75,,80288063.76,286576914.71,
2010-07-30,110006.OF,2010-06-30,2010-07-19,43.29,716501794.75,31.87,,1183147946.41,3009362475.23,0.0017849826508335997
2010-07-30,080011.OF,2010-03-31,2010-04-22,81.21,,17.5,,1176854044.44,1682598349.89,0.0018301327052077099
2010-07-30,37001B.OF,2010-06-30,2010-07-19,55.93,1857600000.0,3.69,,230402781.76,4636921145.55,0.0019281217789621774
2010-07-30,180009.OF,2010-06-30,2010-07-19,63.38,188000602.0,19.35,,450398719.64,1201451083.48,0.002003238783225836
2010-07-30,163802.OF,2010-06-30,2010-07-19,78.94,250000615.0,9.6,,800715418.02,3163675550.27,0.0017413725623647291
2010-07-30,202301.OF,2010-06-30,2010-07-21,69.78,532201358.3,15.51,,3361313166.48,7753264206.01,0.0017874854502359927
2010-07-30,161608.OF,2010-06-30,2010-07-19,81.06,30000165.0,1.29,,60046242.99,185074807.56,0.002091556102375769
2010-07-30,519999.OF,2010-06-30,2010-07-20,48.6,1141003511.5,22.11,,1081232221.76,4087105636.13,0.0018336589008196569
2010-07-30,519588.OF,2010-06-30,2010-07-21,89.19,,9.82,,640696644.34,3869654897.78,0.0016748009188123358
2010-07-30,180008.OF,2010-06-30,2010-07-19,63.38,188000602.0,19.35,,450398719.64,1201451083.48,0.0018057101844524137
2010-07-30,370010.OF,2010-06-30,2010-07-19,55.93,1857600000.0,3.69,,230402781.76,4636921145.55,0.0017309661666236043
2010-07-30,519518.OF,2010-06-30,2010-07-21,51.99,400001080.0,25.99,,870863081.67,3661680973.92,0.002080240037750425
2010-07-30,410002.OF,2010-06-30,2010-07-21,74.53,96800465.2,5.97,,160130218.37,517169345.83,0.0018643988915081344
2010-07-30,260102.OF,2010-06-30,2010-07-21,61.94,60000000.0,6.53,,40070262.65,193586679.5,0.002094986321137471
2010-07-30,041003.OF,2010-06-30,2010-07-21,78.28,440001380.0,13.52,,2152237306.66,6567358593.07,0.0018275188024579059
2010-07-30,213009.OF,2010-06-30,2010-07-20,52.67,57800228.9,0.23,,40164656.95,170936843.66,0.0016993181765290188
2010-07-30,213909.OF,2010-06-30,2010-07-20,52.67,57800228.9,0.23,,40164656.95,170936843.66,0.0018981208736925659
2010-07-30,270004.OF,2010-06-30,2010-07-20,58.75,904002836.0,0.63,,720527609.18,2646105571.21,0.001793326568487963
2010-07-30,360003.OF,2010-06-30,2010-07-20,85.68,,12.74,,70068027.69,245341697.53,0.001649821019326092
2010-07-30,290001.OF,2010-06-30,2010-07-19,70.36,79000193.5,20.35,,,929887268.5,0.0016011349659603713
2010-07-30,270014.OF,2010-06-30,2010-07-20,58.75,904002836.0,0.63,,720527609.18,2646105571.21,0.0019905337132613
2010-07-30,350004.OF,2010-06-30,2010-07-19,35.12,95000542.5,5.42,,30006979.09,200762408.25,0.0015945575931128886
2010-07-30,090005.OF,2010-06-30,2010-07-20,69.96,200000420.0,18.06,,440560679.41,1806300492.43,0.0017121337059597952
