,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2010-11-30,519505.OF,2010-09-30,2010-10-27,47.0,1380002830.0,27.74,,1477364372.95,5627128613.48,0.0017883782951524374
2010-11-30,050003.OF,2010-09-30,2010-10-26,70.99,,28.1,,1735903464.09,5395687100.28,0.0018867047627273426
2010-11-30,020007.OF,2010-09-30,2010-10-26,75.52,100000390.0,10.28,,260317930.5,754695551.89,0.0021535909638454864
2010-11-30,040003.OF,2010-09-30,2010-10-27,70.1,,26.78,,2183714687.87,6109857731.81,0.0016303265122936672
2010-11-30,560001.OF,2010-09-30,2010-10-28,48.78,,50.96,,12018267.21,86118855.47,0.0014198155052511652
2010-11-30,320002.OF,2010-09-30,2010-10-26,60.0,130000555.0,26.99,,399783827.67,1036891726.7,0.0017568122646807183
2010-11-30,217014.OF,2010-09-30,2010-10-28,34.41,2562506483.75,26.41,,1220786485.88,6619931674.54,0.001895730827381481
2010-11-30,003003.OF,2010-09-30,2010-10-26,47.64,3778205046.5,19.59,,3533493418.09,12305553703.03,0.0018602282392068403
2010-11-30,162206.OF,2010-09-30,2010-10-28,59.17,159800664.7,14.85,,160150465.97,633129352.23,0.0019528983287613322
2010-11-30,530002.OF,2010-09-30,2010-10-27,45.89,1545504678.25,0.41,,940552992.15,2896475917.96,0.002516181785490179
2010-11-30,121011.OF,2010-09-30,2010-10-25,51.59,229500784.25,21.87,,240164115.55,874408249.57,0.001914238275392055
2010-11-30,091005.OF,2010-09-30,2010-10-25,67.0,,32.05,,180121530.14,895431093.9,0.0019098526120235881
2010-11-30,340005.OF,2010-09-30,2010-10-27,49.31,30000000.0,35.07,,,201006401.12,0.0020674969791256714
2010-11-30,583101.OF,2010-09-30,2010-10-26,64.49,,34.55,,180345031.72,693094003.84,0.002011396058290371
2010-11-30,100025.OF,2010-09-30,2010-10-26,42.39,809802674.7,7.98,,596017766.52,1642774805.1,0.0017861594821475535
2010-11-30,260202.OF,2010-09-30,2010-10-26,54.85,40000000.0,2.98,,20032054.92,109979726.94,0.0022855029581945185
2010-11-30,460106.OF,2010-09-30,2010-10-28,78.86,24000000.0,2.55,,,139486021.25,0.002046303806856331
2010-11-30,240006.OF,2010-09-30,2010-10-26,36.75,468301382.45,29.78,,300367109.06,1417812957.45,0.0019381354312772991
