,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2013-03-29,360022.OF,2012-12-31,2013-01-19,0.0,20000150.0,82.24,,,115492721.85,
2013-03-29,519505.OF,2012-12-31,2013-01-21,18.14,5615352406.51,25.14,,1050838530.79,9976181329.79,0.0017883782951524374
2013-03-29,050003.OF,2012-12-31,2013-01-18,26.41,263121908.77,71.85,,9040720975.25,49639227311.99,0.0018867047627273426
2013-03-29,090022.OF,2012-12-31,2013-01-01,,,,,,,0.001872882405390408
2013-03-29,110050.OF,2012-12-31,2013-01-01,,,,,,,0.0019770705253219223
2013-03-29,020007.OF,2012-12-31,2013-01-19,18.71,3884644741.5,31.48,,982184913.92,7869845393.15,0.0021535909638454864
2013-03-29,040003.OF,2012-12-31,2013-01-21,23.17,6982188655.43,35.8,,3412542157.48,18422171168.2,0.0016303265122936672
2013-03-29,560001.OF,2012-12-31,2013-01-22,38.12,32900270.0,18.08,,19538008.72,77519570.99,0.0014198155052511652
2013-03-29,320002.OF,2012-12-31,2013-01-21,85.63,279221058.83,0.79,,1320399490.52,2303564713.46,0.0017568122646807183
2013-03-29,519998.OF,2012-12-31,2013-01-19,25.41,1448897728.34,59.84,,1731032701.38,10313480803.04,0.0020313468619965747
2013-03-29,217014.OF,2012-12-31,2013-01-22,23.38,2673005799.5,59.95,,2320213572.19,16826715835.49,0.001895730827381481
2013-03-29,003003.OF,2012-12-31,2013-01-21,41.11,,54.22,,14020577811.62,48669625367.19,0.0018602282392068403
2013-03-29,162206.OF,2012-12-31,2013-01-22,52.29,100000350.0,17.55,,100088272.35,345256281.47,0.0019528983287613322
2013-03-29,217026.OF,2012-12-31,2013-01-01,,,,,,,0.0005787088161126608
2013-03-29,090021.OF,2012-12-31,2013-01-19,29.89,753677090.52,45.52,,730917266.02,3146514601.31,0.0019390220783166434
2013-03-29,080019.OF,2012-12-31,2013-01-01,,,,,,,
2013-03-29,001057.OF,2012-12-31,2013-01-21,28.25,,70.92,,260194721.62,921099632.24,0.0020621006444208057
2013-03-29,530002.OF,2012-12-31,2013-01-21,12.79,6539013679.19,36.92,,790919108.93,13455864007.26,0.002516181785490179
2013-03-29,040038.OF,2012-12-31,2013-01-01,,,,,,,0.0019907354217945095
