,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2011-06-30,519505.OF,2011-03-31,2011-04-22,59.97,584001226.0,26.01,,1091594333.4,4826402573.03,0.0017883782951524374
2011-06-30,050003.OF,2011-03-31,2011-04-21,56.44,1006002349.0,27.6,,2395391764.69,6922401189.89,0.0018867047627273426
2011-06-30,020007.OF,2011-03-31,2011-04-22,62.57,,36.82,,220498352.47,663226707.42,0.0021535909638454864
2011-06-30,040003.OF,2011-03-31,2011-04-22,45.33,1908403847.6,28.48,,2111561158.21,8175513210.86,0.0016303265122936672
2011-06-30,560001.OF,2011-03-31,2011-04-22,51.99,17200000.0,27.21,,16005677.73,88513300.41,0.0014198155052511652
2011-06-30,320002.OF,2011-03-31,2011-04-22,47.8,466701388.05,22.07,,470035480.48,1593506530.84,0.0017568122646807183
2011-06-30,519998.OF,2011-03-31,2011-04-21,53.35,2395406553.1,21.33,,3104862390.81,9775758851.67,0.0020313468619965747
2011-06-30,217014.OF,2011-03-31,2011-04-22,63.86,600001300.0,25.86,,1708108632.52,6322684539.16,0.001895730827381481
2011-06-30,003003.OF,2011-03-31,2011-04-22,51.01,2495504088.25,24.85,,4261368044.74,14730912148.48,0.0018602282392068403
2011-06-30,162206.OF,2011-03-31,2011-04-22,76.02,,22.95,,70031529.62,250154573.86,0.0019528983287613322
2011-06-30,530002.OF,2011-03-31,2011-04-25,42.45,1158773338.16,14.53,,680231931.62,2779761873.09,0.002516181785490179
2011-06-30,121011.OF,2011-03-31,2011-04-23,35.09,542610041.4,34.08,,409687490.42,1827965599.42,0.001914238275392055
2011-06-30,091005.OF,2011-03-31,2011-04-21,39.55,276400654.6,48.42,,310000985.97,2501216346.84,0.0019098526120235881
2011-06-30,253050.OF,2011-03-31,2011-04-21,79.26,,19.15,,209808113.67,440459762.6,0.0016881920940932105
2011-06-30,340005.OF,2011-03-31,2011-04-22,31.85,60000210.0,42.35,,,250081950.17,0.0020674969791256714
2011-06-30,583101.OF,2011-03-31,2011-04-21,49.69,200000000.0,30.94,,400089597.69,1280762470.67,0.002011396058290371
2011-06-30,100025.OF,2011-03-31,2011-04-21,24.65,574801942.2,24.4,,410430679.52,2192007785.12,0.0017861594821475535
2011-06-30,260202.OF,2011-03-31,2011-04-22,85.91,,5.1,,40000811.41,139323523.02,0.0022855029581945185
2011-06-30,460106.OF,2011-03-31,2011-04-25,60.29,38000000.0,14.56,,,232164856.93,0.002046303806856331
2011-06-30,240006.OF,2011-03-31,2011-04-22,45.77,452041488.96,28.74,,499832897.82,1926003062.04,0.0019381354312772991
2011-06-30,150005.OF,2011-03-31,2011-04-20,53.47,197000855.5,27.88,,359950037.53,1085039406.16,0.0020493474903138242
2011-06-30,519508.OF,2011-03-31,2011-04-20,65.17,740001550.0,0.54,,869737271.95,2281608791.22,0.0019024923560950757
2011-06-30,202302.OF,2011-03-31,2011-04-25,52.86,2247890251.83,26.0,,3438969972.87,11613690809.31,0.0019848747634625408
2011-06-30,583001.OF,2011-03-31,2011-04-21,49.69,200000000.0,30.94,,400089597.69,1280762470.67,0.001814011748230815
2011-06-30,128011.OF,2011-03-31,2011-04-23,35.09,542610041.4,34.08,,409687490.42,1827965599.42,0.0021135144039023945
2011-06-30,400005.OF,2011-03-31,2011-04-22,59.15,,34.95,,59987350.6,152227997.31,0.0017231505534507363
2011-06-30,519506.OF,2011-03-31,2011-04-22,59.97,584001226.0,26.01,,1091594333.4,4826402573.03,0.0019873993182233374
2011-06-30,288101.OF,2011-03-31,2011-04-22,64.51,67900221.85,23.93,,379638199.7,976546192.29,0.001969526724959536
2011-06-30,660107.OF,2011-03-31,2011-04-22,39.33,299671009.51,22.98,,269947274.09,1093598433.85,0.0020682845482951073
2011-06-30,150015.OF,2011-03-31,2011-04-20,53.47,197000855.5,27.88,,359950037.53,1085039406.16,0.0022464775834210027
2011-06-30,200003.OF,2011-03-31,2011-04-22,66.04,118000601.6,0.56,,159817568.93,408551872.55,0.001990730799945828
2011-06-30,240007.OF,2011-03-31,2011-04-22,45.77,452041488.96,28.74,,499832897.82,1926003062.04,0.0021358904867629924
2011-06-30,217004.OF,2011-03-31,2011-04-22,63.86,600001300.0,25.86,,1708108632.52,6322684539.16,0.0016980320214463607
2011-06-30,110016.OF,2011-03-31,2011-04-22,27.58,3403087704.63,28.28,,1081983882.73,8565156900.92,0.001982545455257334
2011-06-30,160609.OF,2011-03-31,2011-04-22,70.74,199250576.08,17.93,,,2365862524.06,0.0021096363787214134
2011-06-30,482002.OF,2011-03-31,2011-04-23,68.97,,27.13,,1539648368.42,4488140849.95,0.0019382123876090507
2011-06-30,100028.OF,2011-03-31,2011-04-21,24.65,574801942.2,24.4,,410430679.52,2192007785.12,0.0019837938827154122
2011-06-30,660007.OF,2011-03-31,2011-04-22,39.33,299671009.51,22.98,,269947274.09,1093598433.85,0.0018705099662930103
2011-06-30,460006.OF,2011-03-31,2011-04-25,60.29,38000000.0,14.56,,,232164856.93,0.0018489642076948698
2011-06-30,519517.OF,2011-03-31,2011-04-22,41.98,593201769.8,24.88,,635327780.26,2515900384.23,0.002278362021125524
2011-06-30,519589.OF,2011-03-31,2011-04-22,80.46,,18.42,,480089396.92,1831453679.07,0.0018721681709263915
2011-06-30,310338.OF,2011-03-31,2011-04-21,44.21,15000000.0,33.38,,,79213685.72,0.0016660691767604874
2011-06-30,160606.OF,2011-03-31,2011-04-22,70.74,199250576.08,17.93,,,2365862524.06,0.0019123261267850467
2011-06-30,070008.OF,2011-03-31,2011-04-22,48.17,2199554179.33,25.9,,3549378133.43,10447466105.61,0.0019037344743024764
2011-06-30,163303.OF,2011-03-31,2011-04-22,83.97,,14.33,,50006629.65,137177369.72,
2011-06-30,110006.OF,2011-03-31,2011-04-22,27.58,3403087704.63,28.28,,1081983882.73,8565156900.92,0.0017849826508335997
2011-06-30,080011.OF,2011-03-31,2011-04-21,91.76,,1.91,,80014193.42,261951801.66,0.0018301327052077099
2011-06-30,37001B.OF,2011-03-31,2011-04-20,48.02,4097400000.0,6.44,,209702562.25,9214560011.68,0.0019281217789621774
2011-06-30,180009.OF,2011-03-31,2011-04-20,69.34,,29.41,,299985222.94,1139543709.8,0.002003238783225836
2011-06-30,253051.OF,2011-03-31,2011-04-21,79.26,,19.15,,209808113.67,440459762.6,0.001884871710821523
2011-06-30,163802.OF,2011-03-31,2011-04-22,55.81,449970994.96,25.8,,1290183790.71,4018779791.93,0.0017413725623647291
2011-06-30,202301.OF,2011-03-31,2011-04-25,52.86,2247890251.83,26.0,,3438969972.87,11613690809.31,0.0017874854502359927
2011-06-30,161608.OF,2011-03-31,2011-04-22,68.91,39600179.4,7.74,,60007364.18,174039477.76,0.002091556102375769
2011-06-30,519999.OF,2011-03-31,2011-04-21,53.35,2395406553.1,21.33,,3104862390.81,9775758851.67,0.0018336589008196569
2011-06-30,519588.OF,2011-03-31,2011-04-22,80.46,,18.42,,480089396.92,1831453679.07,0.0016748009188123358
2011-06-30,392002.OF,2011-03-31,2011-04-21,16.73,1189602234.4,29.16,,289679622.05,2213028009.44,0.0018315876883236992
2011-06-30,180008.OF,2011-03-31,2011-04-20,69.34,,29.41,,299985222.94,1139543709.8,0.0018057101844524137
2011-06-30,370010.OF,2011-03-31,2011-04-20,48.02,4097400000.0,6.44,,209702562.25,9214560011.68,0.0017309661666236043
2011-06-30,519518.OF,2011-03-31,2011-04-22,41.98,593201769.8,24.88,,635327780.26,2515900384.23,0.002080240037750425
2011-06-30,410002.OF,2011-03-31,2011-04-22,68.76,10000135.0,24.59,,269970544.3,821874035.6,0.0018643988915081344
2011-06-30,260102.OF,2011-03-31,2011-04-22,85.91,,5.1,,40000811.41,139323523.02,0.002094986321137471
