,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2013-08-30,360022.OF,2013-06-30,2013-07-18,0.0,21900232.85,60.58,,,56107756.74,
2013-08-30,519505.OF,2013-06-30,2013-07-19,77.09,,21.09,,1809997685.92,3405192896.25,0.0017883782951524374
2013-08-30,050003.OF,2013-06-30,2013-07-18,43.9,,54.18,,7869743706.88,24246605588.41,0.0018867047627273426
2013-08-30,519899.OF,2013-06-30,2013-07-18,16.99,410000000.0,55.73,,270386873.38,2770032461.07,0.001956849004509875
2013-08-30,090022.OF,2013-06-30,2013-07-18,63.86,20000000.0,27.26,,190290851.98,548546714.52,0.001872882405390408
2013-08-30,110050.OF,2013-06-30,2013-07-17,84.12,,6.43,,530864159.8,655994605.42,0.0019770705253219223
2013-08-30,519801.OF,2013-06-30,2013-07-19,17.83,241910666.87,46.07,,179988994.99,1009527742.41,0.0018510932284727666
2013-08-30,020007.OF,2013-06-30,2013-07-18,54.6,79300429.65,32.45,,400174427.68,934376549.34,0.0021535909638454864
2013-08-30,519887.OF,2013-06-30,2013-07-18,42.71,67000000.0,25.6,,20027433.38,297262987.98,
2013-08-30,040003.OF,2013-06-30,2013-07-19,60.97,,30.43,,4852516520.4,9541523237.21,0.0016303265122936672
2013-08-30,560001.OF,2013-06-30,2013-07-17,41.06,34200000.0,6.94,,18589228.42,69633298.78,0.0014198155052511652
2013-08-30,320002.OF,2013-06-30,2013-07-19,42.71,1187444001.77,1.02,,589663612.39,2550783656.15,0.0017568122646807183
2013-08-30,380010.OF,2013-06-30,2013-07-17,30.45,258893208.34,25.48,,150019241.88,590872343.46,0.0021132105126724365
2013-08-30,471007.OF,2013-06-30,2013-07-01,,,,,,,0.0017635715689741094
2013-08-30,519998.OF,2013-06-30,2013-07-18,31.82,2261151622.57,0.22,,310343338.53,3676769588.37,0.0020313468619965747
2013-08-30,519529.OF,2013-06-30,2013-07-19,0.0,237000000.0,4.23,,,401251798.28,
2013-08-30,217014.OF,2013-06-30,2013-07-17,48.97,948002422.0,42.6,,4220155018.15,12522454608.58,0.001895730827381481
2013-08-30,003003.OF,2013-06-30,2013-07-19,31.26,,67.22,,7350500805.88,45830780075.49,0.0018602282392068403
2013-08-30,162206.OF,2013-06-30,2013-07-17,53.28,203500747.75,0.16,,120113488.79,450896413.65,0.0019528983287613322
2013-08-30,217026.OF,2013-06-30,2013-07-17,48.06,98000387.0,38.94,,280163562.19,810790719.39,0.0005787088161126608
2013-08-30,090021.OF,2013-06-30,2013-07-18,79.9,,18.06,,480599905.29,664046679.4,0.0019390220783166434
2013-08-30,080019.OF,2013-06-30,2013-07-18,54.93,,43.89,,,145709426.18,
