,S_INFO_WINDCODE,F_PRT_ENDDATE,F_ANN_DATE,F_PRT_BONDTOTOT,F_MMF_REVERSEREPO,F_PRT_CASHTOTOT,F_PRT_CDS,F_PRT_CPVALUE,F_PRT_TOTALASSET,RETURN
2016-01-29,000863.OF,2015-12-31,2016-01-20,38.83,633702110.55,56.4,1544428580.08,3760427556.71,16006467012.3,0.0019279864963872573
2016-01-29,519809.OF,2015-12-31,2016-01-21,46.51,20000150.0,48.67,39754894.37,260016689.59,644552374.33,0.0016871826228730402
2016-01-29,000912.OF,2015-12-31,2016-01-22,35.41,465001657.5,0.41,,222620540.26,733620212.09,0.0017755623445978586
2016-01-29,519505.OF,2015-12-31,2016-01-21,15.73,7894420658.08,47.17,596318321.21,1799629502.75,22988420057.09,0.0017883782951524374
2016-01-29,000605.OF,2015-12-31,2016-01-22,39.73,296771605.16,29.5,129792759.71,255358189.05,1120897766.92,0.0021021932184444037
2016-01-29,000686.OF,2015-12-31,2016-01-21,47.8,,50.18,118912841.65,69979693.05,520684526.11,0.0020888310503131002
2016-01-29,000872.OF,2015-12-31,2016-01-21,3.27,140000450.0,50.91,,9996124.6,305896031.58,0.0029417160060074554
2016-01-29,050003.OF,2015-12-31,2016-01-20,45.55,2647364815.29,50.19,9447454897.73,19800722496.63,76153379488.56,0.0018867047627273426
2016-01-29,000741.OF,2015-12-31,2016-01-21,44.76,6238382977.56,40.29,12491678341.93,4767224590.73,43078482293.99,0.001735152329958023
2016-01-29,000203.OF,2015-12-31,2016-01-20,20.9,2475404543.1,48.99,49516611.92,1257056456.74,8454241727.55,0.001462653350070564
2016-01-29,001991.OF,2015-12-31,2016-01-01,,,,,,,0.0016287096615830166
2016-01-29,519899.OF,2015-12-31,2016-01-20,26.01,300000000.0,42.06,326971661.18,289929649.27,2987807579.63,0.001956849004509875
2016-01-29,090022.OF,2015-12-31,2016-01-20,43.94,519901854.85,29.53,,2121497647.85,5419864625.42,0.001872882405390408
2016-01-29,001926.OF,2015-12-31,2016-01-01,,,,,,,0.0017731496044817163
2016-01-29,110050.OF,2015-12-31,2016-01-22,65.24,,33.62,168285008.52,339691640.46,870913082.53,0.0019770705253219223
2016-01-29,519801.OF,2015-12-31,2016-01-21,22.09,71000626.5,68.33,79446965.08,119913100.89,1174560585.4,0.0018510932284727666
2016-01-29,000771.OF,2015-12-31,2016-01-21,26.37,3955509643.25,47.31,,3627874139.24,15425906891.05,0.0017437684682131138
2016-01-29,020007.OF,2015-12-31,2016-01-20,38.1,3374078218.96,42.9,,5657259528.85,21643296921.19,0.0021535909638454864
2016-01-29,519507.OF,2015-12-31,2016-01-22,32.7,4057846177.5,32.1,79411747.98,2350045613.22,12323970793.3,0.0020996785942413165
2016-01-29,161622.OF,2015-12-31,2016-01-22,90.33,,6.06,,,18836233.74,0.002092655296282553
2016-01-29,202307.OF,2015-12-31,2016-01-21,15.52,11764968193.85,45.05,2685698028.99,669889521.01,29930348951.98,0.0019322874591971573
2016-01-29,001812.OF,2015-12-31,2016-01-21,29.58,,67.45,9647825486.16,9853160918.48,81274169741.99,0.0019041212872314972
2016-01-29,001788.OF,2015-12-31,2016-01-01,,,,,,,
2016-01-29,040003.OF,2015-12-31,2016-01-21,24.47,15631331046.97,34.81,4292622943.02,3599625722.06,39754441044.03,0.0016303265122936672
