,td_date
1496,2008-08-14
1497,2008-08-19
1498,2008-08-20
1499,2008-08-21
1500,2008-08-26
1501,2008-08-27
1502,2008-08-28
1503,2008-09-02
1504,2008-09-03
1505,2008-09-04
1506,2008-09-09
1507,2008-09-10
1508,2008-09-11
1509,2008-09-17
1510,2008-09-18
1511,2008-09-23
1512,2008-09-24
1513,2008-09-25
1514,2008-10-07
1515,2008-10-08
1516,2008-10-09
1517,2008-10-14
1518,2008-10-15
1519,2008-10-16
1520,2008-10-21
1521,2008-10-22
1522,2008-10-23
1523,2008-10-28
1524,2008-10-29
1525,2008-10-30
1526,2008-11-04
1527,2008-11-05
1528,2008-11-06
1529,2008-11-11
1530,2008-11-12
1531,2008-11-13
1532,2008-11-18
1533,2008-11-19
1534,2008-11-20
1535,2008-11-25
1536,2008-11-26
1537,2008-11-27
1538,2008-12-02
1539,2008-12-03
1540,2008-12-04
1541,2008-12-09
1542,2008-12-10
1543,2008-12-11
1544,2008-12-16
1545,2008-12-17
1546,2008-12-18
1547,2008-12-23
1548,2008-12-24
1549,2008-12-25
1550,2008-12-30
1551,2009-01-06
1552,2009-01-07
1553,2009-01-08
1554,2009-01-13
1555,2009-01-14
1556,2009-01-15
1557,2009-01-20
1558,2009-01-21
1559,2009-01-22
1560,2009-02-03
1561,2009-02-04
1562,2009-02-05
1563,2009-02-10
1564,2009-02-11
1565,2009-02-12
1566,2009-02-17
1567,2009-02-18
1568,2009-02-19
1569,2009-02-24
1570,2009-02-25
1571,2009-02-26
1572,2009-03-03
1573,2009-03-04
1574,2009-03-05
1575,2009-03-10
1576,2009-03-11
1577,2009-03-12
1578,2009-03-17
1579,2009-03-18
1580,2009-03-19
1581,2009-03-24
1582,2009-03-25
1583,2009-03-26
1584,2009-04-02
1585,2009-04-08
1586,2009-04-09
1587,2009-04-14
1588,2009-04-15
1589,2009-04-16
1590,2009-04-21
1591,2009-04-22
1592,2009-04-23
1593,2009-04-28
1594,2009-04-29
1595,2009-05-05
1596,2009-05-06
1597,2009-05-07
1598,2009-05-12
1599,2009-05-13
1600,2009-05-14
1601,2009-05-19
1602,2009-05-20
1603,2009-05-21
1604,2009-05-26
1605,2009-06-02
1606,2009-06-03
1607,2009-06-04
1608,2009-06-09
1609,2009-06-10
1610,2009-06-11
1611,2009-06-16
1612,2009-06-17
1613,2009-06-18
1614,2009-06-23
1615,2009-06-24
1616,2009-06-25
1617,2009-07-02
1618,2009-07-07
1619,2009-07-08
1620,2009-07-09
1621,2009-07-14
1622,2009-07-15
1623,2009-07-16
1624,2009-07-21
1625,2009-07-22
1626,2009-07-23
1627,2009-07-28
1628,2009-07-29
1629,2009-07-30
1630,2009-08-04
1631,2009-08-05
1632,2009-08-06
1633,2009-08-11
1634,2009-08-12
1635,2009-08-13
1636,2009-08-18
1637,2009-08-19
1638,2009-08-20
1639,2009-08-25
1640,2009-08-26
1641,2009-08-27
1642,2009-09-02
1643,2009-09-03
1644,2009-09-08
1645,2009-09-09
1646,2009-09-10
1647,2009-09-15
1648,2009-09-16
1649,2009-09-17
1650,2009-09-22
1651,2009-09-23
1652,2009-09-24
1653,2009-09-29
1654,2009-10-13
1655,2009-10-14
1656,2009-10-15
1657,2009-10-20
1658,2009-10-21
1659,2009-10-22
1660,2009-10-27
1661,2009-10-28
1662,2009-10-29
1663,2009-11-03
1664,2009-11-04
1665,2009-11-05
1666,2009-11-10
1667,2009-11-11
1668,2009-11-12
1669,2009-11-17
1670,2009-11-18
1671,2009-11-19
1672,2009-11-24
1673,2009-11-25
1674,2009-11-26
1675,2009-12-02
1676,2009-12-03
1677,2009-12-08
1678,2009-12-09
1679,2009-12-10
1680,2009-12-15
1681,2009-12-16
1682,2009-12-17
1683,2009-12-22
1684,2009-12-23
1685,2009-12-24
1686,2009-12-29
1687,2009-12-30
1688,2010-01-05
1689,2010-01-06
1690,2010-01-07
1691,2010-01-12
1692,2010-01-13
1693,2010-01-14
1694,2010-01-19
1695,2010-01-20
1696,2010-01-21
1697,2010-01-26
1698,2010-01-27
1699,2010-01-28
1700,2010-02-02
1701,2010-02-03
1702,2010-02-04
1703,2010-02-09
1704,2010-02-10
1705,2010-02-11
1706,2010-02-23
1707,2010-02-24
1708,2010-02-25
1709,2010-03-02
1710,2010-03-03
1711,2010-03-04
1712,2010-03-09
1713,2010-03-10
1714,2010-03-11
1715,2010-03-16
1716,2010-03-17
1717,2010-03-18
1718,2010-03-23
1719,2010-03-24
1720,2010-03-25
1721,2010-03-30
1722,2010-04-07
1723,2010-04-08
1724,2010-04-13
1725,2010-04-14
1726,2010-04-15
1727,2010-04-20
1728,2010-04-21
1729,2010-04-22
1730,2010-04-27
1731,2010-04-28
1732,2010-04-29
1733,2010-05-05
1734,2010-05-06
1735,2010-05-11
1736,2010-05-12
1737,2010-05-13
1738,2010-05-18
1739,2010-05-19
1740,2010-05-20
1741,2010-05-25
1742,2010-05-26
1743,2010-05-27
1744,2010-06-02
1745,2010-06-03
1746,2010-06-08
1747,2010-06-09
1748,2010-06-10
1749,2010-06-22
1750,2010-06-23
1751,2010-06-24
1752,2010-06-29
1753,2010-07-06
1754,2010-07-07
1755,2010-07-08
1756,2010-07-13
1757,2010-07-14
1758,2010-07-15
1759,2010-07-20
1760,2010-07-21
1761,2010-07-22
1762,2010-07-27
1763,2010-07-28
1764,2010-07-29
1765,2010-08-03
1766,2010-08-04
1767,2010-08-05
1768,2010-08-10
1769,2010-08-11
1770,2010-08-12
1771,2010-08-17
1772,2010-08-18
1773,2010-08-19
1774,2010-08-24
1775,2010-08-25
1776,2010-08-26
1777,2010-09-02
1778,2010-09-07
1779,2010-09-08
1780,2010-09-09
1781,2010-09-14
1782,2010-09-15
1783,2010-09-16
1784,2010-09-28
1785,2010-09-29
1786,2010-10-12
1787,2010-10-13
1788,2010-10-14
1789,2010-10-19
1790,2010-10-20
1791,2010-10-21
1792,2010-10-26
1793,2010-10-27
1794,2010-10-28
1795,2010-11-02
1796,2010-11-03
1797,2010-11-04
1798,2010-11-09
1799,2010-11-10
1800,2010-11-11
1801,2010-11-16
1802,2010-11-17
1803,2010-11-18
1804,2010-11-23
1805,2010-11-24
1806,2010-11-25
1807,2010-12-02
1808,2010-12-07
1809,2010-12-08
1810,2010-12-09
1811,2010-12-14
1812,2010-12-15
1813,2010-12-16
1814,2010-12-21
1815,2010-12-22
1816,2010-12-23
1817,2010-12-28
1818,2010-12-29
1819,2010-12-30
1820,2011-01-05
1821,2011-01-06
1822,2011-01-11
1823,2011-01-12
1824,2011-01-13
1825,2011-01-18
1826,2011-01-19
1827,2011-01-20
1828,2011-01-25
1829,2011-01-26
1830,2011-01-27
1831,2011-02-10
1832,2011-02-15
1833,2011-02-16
1834,2011-02-17
1835,2011-02-22
1836,2011-02-23
1837,2011-02-24
1838,2011-03-02
1839,2011-03-03
1840,2011-03-08
1841,2011-03-09
1842,2011-03-10
1843,2011-03-15
1844,2011-03-16
1845,2011-03-17
1846,2011-03-22
1847,2011-03-23
1848,2011-03-24
1849,2011-03-29
1850,2011-03-30
1851,2011-04-07
1852,2011-04-12
1853,2011-04-13
1854,2011-04-14
1855,2011-04-19
1856,2011-04-20
1857,2011-04-21
1858,2011-04-26
1859,2011-04-27
1860,2011-04-28
1861,2011-05-04
1862,2011-05-05
1863,2011-05-10
1864,2011-05-11
1865,2011-05-12
1866,2011-05-17
1867,2011-05-18
1868,2011-05-19
1869,2011-05-24
1870,2011-05-25
1871,2011-05-26
1872,2011-06-02
1873,2011-06-08
1874,2011-06-09
1875,2011-06-14
1876,2011-06-15
1877,2011-06-16
1878,2011-06-21
1879,2011-06-22
1880,2011-06-23
1881,2011-06-28
1882,2011-06-29
1883,2011-07-05
1884,2011-07-06
1885,2011-07-07
1886,2011-07-12
1887,2011-07-13
1888,2011-07-14
1889,2011-07-19
1890,2011-07-20
1891,2011-07-21
1892,2011-07-26
1893,2011-07-27
1894,2011-07-28
1895,2011-08-02
1896,2011-08-03
1897,2011-08-04
1898,2011-08-09
1899,2011-08-10
1900,2011-08-11
1901,2011-08-16
1902,2011-08-17
1903,2011-08-18
1904,2011-08-23
1905,2011-08-24
1906,2011-08-25
1907,2011-08-30
1908,2011-09-06
1909,2011-09-07
1910,2011-09-08
1911,2011-09-14
1912,2011-09-15
1913,2011-09-20
1914,2011-09-21
1915,2011-09-22
1916,2011-09-27
1917,2011-09-28
1918,2011-09-29
1919,2011-10-11
1920,2011-10-12
1921,2011-10-13
1922,2011-10-18
1923,2011-10-19
1924,2011-10-20
1925,2011-10-25
1926,2011-10-26
1927,2011-10-27
1928,2011-11-02
1929,2011-11-03
1930,2011-11-08
1931,2011-11-09
1932,2011-11-10
1933,2011-11-15
1934,2011-11-16
1935,2011-11-17
1936,2011-11-22
1937,2011-11-23
1938,2011-11-24
1939,2011-11-29
1940,2011-12-06
1941,2011-12-07
1942,2011-12-08
1943,2011-12-13
1944,2011-12-14
1945,2011-12-15
1946,2011-12-20
1947,2011-12-21
1948,2011-12-22
1949,2011-12-27
1950,2011-12-28
1951,2011-12-29
1952,2012-01-05
1953,2012-01-10
1954,2012-01-11
1955,2012-01-12
1956,2012-01-17
1957,2012-01-18
1958,2012-01-19
1959,2012-02-02
1960,2012-02-07
1961,2012-02-08
1962,2012-02-09
1963,2012-02-14
1964,2012-02-15
1965,2012-02-16
1966,2012-02-21
1967,2012-02-22
1968,2012-02-23
1969,2012-02-28
1970,2012-03-06
1971,2012-03-07
1972,2012-03-08
1973,2012-03-13
1974,2012-03-14
1975,2012-03-15
1976,2012-03-20
1977,2012-03-21
1978,2012-03-22
1979,2012-03-27
1980,2012-03-28
1981,2012-03-29
1982,2012-04-10
1983,2012-04-11
1984,2012-04-12
1985,2012-04-17
1986,2012-04-18
1987,2012-04-19
1988,2012-04-24
1989,2012-04-25
1990,2012-04-26
1991,2012-05-03
1992,2012-05-08
1993,2012-05-09
1994,2012-05-10
1995,2012-05-15
1996,2012-05-16
1997,2012-05-17
1998,2012-05-22
1999,2012-05-23
2000,2012-05-24
2001,2012-05-29
2002,2012-05-30
2003,2012-06-05
2004,2012-06-06
2005,2012-06-07
2006,2012-06-12
2007,2012-06-13
2008,2012-06-14
2009,2012-06-19
2010,2012-06-20
2011,2012-06-26
2012,2012-06-27
2013,2012-06-28
2014,2012-07-03
2015,2012-07-04
2016,2012-07-05
2017,2012-07-10
2018,2012-07-11
2019,2012-07-12
2020,2012-07-17
2021,2012-07-18
2022,2012-07-19
2023,2012-07-24
2024,2012-07-25
2025,2012-07-26
2026,2012-08-02
2027,2012-08-07
2028,2012-08-08
2029,2012-08-09
2030,2012-08-14
2031,2012-08-15
2032,2012-08-16
2033,2012-08-21
2034,2012-08-22
2035,2012-08-23
2036,2012-08-28
2037,2012-08-29
2038,2012-08-30
2039,2012-09-04
2040,2012-09-05
2041,2012-09-06
2042,2012-09-11
2043,2012-09-12
2044,2012-09-13
2045,2012-09-18
2046,2012-09-19
2047,2012-09-20
2048,2012-09-25
2049,2012-09-26
2050,2012-09-27
2051,2012-10-09
2052,2012-10-10
2053,2012-10-11
2054,2012-10-16
2055,2012-10-17
2056,2012-10-18
2057,2012-10-23
2058,2012-10-24
2059,2012-10-25
2060,2012-10-30
2061,2012-11-06
2062,2012-11-07
2063,2012-11-08
2064,2012-11-13
2065,2012-11-14
2066,2012-11-15
2067,2012-11-20
2068,2012-11-21
2069,2012-11-22
2070,2012-11-27
2071,2012-11-28
2072,2012-11-29
2073,2012-12-04
2074,2012-12-05
2075,2012-12-06
2076,2012-12-11
2077,2012-12-12
2078,2012-12-13
2079,2012-12-18
2080,2012-12-19
2081,2012-12-20
2082,2012-12-25
2083,2012-12-26
2084,2012-12-27
2085,2013-01-08
2086,2013-01-09
2087,2013-01-10
2088,2013-01-15
2089,2013-01-16
2090,2013-01-17
2091,2013-01-22
2092,2013-01-23
2093,2013-01-24
2094,2013-01-29
2095,2013-01-30
2096,2013-02-05
2097,2013-02-06
2098,2013-02-07
2099,2013-02-19
2100,2013-02-20
2101,2013-02-21
2102,2013-02-26
2103,2013-02-27
2104,2013-03-05
2105,2013-03-06
2106,2013-03-07
2107,2013-03-12
2108,2013-03-13
2109,2013-03-14
2110,2013-03-19
2111,2013-03-20
2112,2013-03-21
2113,2013-03-26
2114,2013-03-27
2115,2013-03-28
2116,2013-04-02
2117,2013-04-09
2118,2013-04-10
2119,2013-04-11
2120,2013-04-16
2121,2013-04-17
2122,2013-04-18
2123,2013-04-23
2124,2013-04-24
2125,2013-04-25
2126,2013-05-07
2127,2013-05-08
2128,2013-05-09
2129,2013-05-14
2130,2013-05-15
2131,2013-05-16
2132,2013-05-21
2133,2013-05-22
2134,2013-05-23
2135,2013-05-28
2136,2013-05-29
2137,2013-05-30
2138,2013-06-04
2139,2013-06-05
2140,2013-06-06
2141,2013-06-18
2142,2013-06-19
2143,2013-06-20
2144,2013-06-25
2145,2013-06-26
2146,2013-06-27
2147,2013-07-02
2148,2013-07-03
2149,2013-07-04
2150,2013-07-09
2151,2013-07-10
2152,2013-07-11
2153,2013-07-16
2154,2013-07-17
2155,2013-07-18
2156,2013-07-23
2157,2013-07-24
2158,2013-07-25
2159,2013-07-30
2160,2013-08-06
2161,2013-08-07
2162,2013-08-08
2163,2013-08-13
2164,2013-08-14
2165,2013-08-15
2166,2013-08-20
2167,2013-08-21
2168,2013-08-22
2169,2013-08-27
2170,2013-08-28
2171,2013-08-29
2172,2013-09-03
2173,2013-09-04
2174,2013-09-05
2175,2013-09-10
2176,2013-09-11
2177,2013-09-12
2178,2013-09-17
2179,2013-09-24
2180,2013-09-25
2181,2013-09-26
2182,2013-10-09
2183,2013-10-10
2184,2013-10-15
2185,2013-10-16
2186,2013-10-17
2187,2013-10-22
2188,2013-10-23
2189,2013-10-24
2190,2013-10-29
2191,2013-10-30
2192,2013-11-05
2193,2013-11-06
2194,2013-11-07
2195,2013-11-12
2196,2013-11-13
2197,2013-11-14
2198,2013-11-19
2199,2013-11-20
2200,2013-11-21
2201,2013-11-26
2202,2013-11-27
2203,2013-11-28
2204,2013-12-03
2205,2013-12-04
2206,2013-12-05
2207,2013-12-10
2208,2013-12-11
2209,2013-12-12
2210,2013-12-17
2211,2013-12-18
2212,2013-12-19
2213,2013-12-24
2214,2013-12-25
2215,2013-12-26
2216,2014-01-07
2217,2014-01-08
2218,2014-01-09
2219,2014-01-14
2220,2014-01-15
2221,2014-01-16
2222,2014-01-21
2223,2014-01-22
2224,2014-01-23
2225,2014-01-28
2226,2014-01-29
2227,2014-02-11
2228,2014-02-12
2229,2014-02-13
2230,2014-02-18
2231,2014-02-19
2232,2014-02-20
2233,2014-02-25
2234,2014-02-26
2235,2014-02-27
2236,2014-03-04
2237,2014-03-05
2238,2014-03-06
2239,2014-03-11
2240,2014-03-12
2241,2014-03-13
2242,2014-03-18
2243,2014-03-19
2244,2014-03-20
2245,2014-03-25
2246,2014-03-26
2247,2014-03-27
2248,2014-04-02
2249,2014-04-03
2250,2014-04-09
2251,2014-04-10
2252,2014-04-15
2253,2014-04-16
2254,2014-04-17
2255,2014-04-22
2256,2014-04-23
2257,2014-04-24
2258,2014-04-29
2259,2014-05-06
2260,2014-05-07
2261,2014-05-08
2262,2014-05-13
2263,2014-05-14
2264,2014-05-15
2265,2014-05-20
2266,2014-05-21
2267,2014-05-22
2268,2014-05-27
2269,2014-05-28
2270,2014-05-29
2271,2014-06-04
2272,2014-06-05
2273,2014-06-10
2274,2014-06-11
2275,2014-06-12
2276,2014-06-17
2277,2014-06-18
2278,2014-06-19
2279,2014-06-24
2280,2014-06-25
2281,2014-06-26
2282,2014-07-02
2283,2014-07-03
2284,2014-07-08
2285,2014-07-09
2286,2014-07-10
2287,2014-07-15
2288,2014-07-16
2289,2014-07-17
2290,2014-07-22
2291,2014-07-23
2292,2014-07-24
2293,2014-07-29
2294,2014-07-30
2295,2014-08-05
2296,2014-08-06
2297,2014-08-07
2298,2014-08-12
2299,2014-08-13
2300,2014-08-14
2301,2014-08-19
2302,2014-08-20
2303,2014-08-21
2304,2014-08-26
2305,2014-08-27
2306,2014-08-28
2307,2014-09-02
2308,2014-09-03
2309,2014-09-04
2310,2014-09-10
2311,2014-09-11
2312,2014-09-16
2313,2014-09-17
2314,2014-09-18
2315,2014-09-23
2316,2014-09-24
2317,2014-09-25
2318,2014-10-09
2319,2014-10-14
2320,2014-10-15
2321,2014-10-16
2322,2014-10-21
2323,2014-10-22
2324,2014-10-23
2325,2014-10-28
2326,2014-10-29
2327,2014-10-30
2328,2014-11-04
2329,2014-11-05
2330,2014-11-06
2331,2014-11-11
2332,2014-11-12
2333,2014-11-13
2334,2014-11-18
2335,2014-11-19
2336,2014-11-20
2337,2014-11-25
2338,2014-11-26
2339,2014-11-27
2340,2014-12-02
2341,2014-12-03
2342,2014-12-04
2343,2014-12-09
2344,2014-12-10
2345,2014-12-11
2346,2014-12-16
2347,2014-12-17
2348,2014-12-18
2349,2014-12-23
2350,2014-12-24
2351,2014-12-25
2352,2014-12-30
2353,2015-01-06
2354,2015-01-07
2355,2015-01-08
2356,2015-01-13
2357,2015-01-14
2358,2015-01-15
2359,2015-01-20
2360,2015-01-21
2361,2015-01-22
2362,2015-01-27
2363,2015-01-28
2364,2015-01-29
2365,2015-02-03
2366,2015-02-04
2367,2015-02-05
2368,2015-02-10
2369,2015-02-11
2370,2015-02-12
2371,2015-02-26
2372,2015-03-03
2373,2015-03-04
2374,2015-03-05
2375,2015-03-10
2376,2015-03-11
2377,2015-03-12
2378,2015-03-17
2379,2015-03-18
2380,2015-03-19
2381,2015-03-24
2382,2015-03-25
2383,2015-03-26
2384,2015-04-02
2385,2015-04-08
2386,2015-04-09
2387,2015-04-14
2388,2015-04-15
2389,2015-04-16
2390,2015-04-21
2391,2015-04-22
2392,2015-04-23
2393,2015-04-28
2394,2015-04-29
2395,2015-05-05
2396,2015-05-06
2397,2015-05-07
2398,2015-05-12
2399,2015-05-13
2400,2015-05-14
2401,2015-05-19
2402,2015-05-20
2403,2015-05-21
2404,2015-05-26
2405,2015-05-27
2406,2015-05-28
2407,2015-06-02
2408,2015-06-03
2409,2015-06-04
2410,2015-06-09
2411,2015-06-10
2412,2015-06-11
2413,2015-06-16
2414,2015-06-17
2415,2015-06-18
2416,2015-06-24
2417,2015-06-25
2418,2015-07-02
2419,2015-07-07
2420,2015-07-08
2421,2015-07-09
2422,2015-07-14
2423,2015-07-15
2424,2015-07-16
2425,2015-07-21
2426,2015-07-22
2427,2015-07-23
2428,2015-07-28
2429,2015-07-29
2430,2015-07-30
2431,2015-08-04
2432,2015-08-05
2433,2015-08-06
2434,2015-08-11
2435,2015-08-12
2436,2015-08-13
2437,2015-08-18
2438,2015-08-19
2439,2015-08-20
2440,2015-08-25
2441,2015-08-26
2442,2015-08-27
2443,2015-09-08
2444,2015-09-09
2445,2015-09-10
2446,2015-09-15
2447,2015-09-16
2448,2015-09-17
2449,2015-09-22
2450,2015-09-23
2451,2015-09-24
2452,2015-09-29
2453,2015-10-13
2454,2015-10-14
2455,2015-10-15
2456,2015-10-20
2457,2015-10-21
2458,2015-10-22
2459,2015-10-27
2460,2015-10-28
2461,2015-10-29
2462,2015-11-03
2463,2015-11-04
2464,2015-11-05
2465,2015-11-10
2466,2015-11-11
2467,2015-11-12
2468,2015-11-17
2469,2015-11-18
2470,2015-11-19
2471,2015-11-24
2472,2015-11-25
2473,2015-11-26
2474,2015-12-02
2475,2015-12-03
2476,2015-12-08
2477,2015-12-09
2478,2015-12-10
2479,2015-12-15
2480,2015-12-16
2481,2015-12-17
2482,2015-12-22
2483,2015-12-23
2484,2015-12-24
2485,2015-12-29
2486,2015-12-30
2487,2016-01-05
2488,2016-01-06
2489,2016-01-07
2490,2016-01-12
2491,2016-01-13
2492,2016-01-14
2493,2016-01-19
2494,2016-01-20
2495,2016-01-21
2496,2016-01-26
2497,2016-01-27
2498,2016-01-28
2499,2016-02-02
2500,2016-02-03
2501,2016-02-04
2502,2016-02-16
2503,2016-02-17
2504,2016-02-18
2505,2016-02-23
2506,2016-02-24
2507,2016-02-25
2508,2016-03-02
2509,2016-03-03
2510,2016-03-08
2511,2016-03-09
2512,2016-03-10
2513,2016-03-15
2514,2016-03-16
2515,2016-03-17
2516,2016-03-22
2517,2016-03-23
2518,2016-03-24
2519,2016-03-29
2520,2016-03-30
2521,2016-04-06
2522,2016-04-07
2523,2016-04-12
2524,2016-04-13
2525,2016-04-14
2526,2016-04-19
2527,2016-04-20
2528,2016-04-21
2529,2016-04-26
2530,2016-04-27
2531,2016-04-28
2532,2016-05-04
2533,2016-05-05
2534,2016-05-10
2535,2016-05-11
2536,2016-05-12
2537,2016-05-17
2538,2016-05-18
2539,2016-05-19
2540,2016-05-24
2541,2016-05-25
2542,2016-05-26
2543,2016-06-02
2544,2016-06-07
2545,2016-06-14
2546,2016-06-15
2547,2016-06-16
2548,2016-06-21
2549,2016-06-22
2550,2016-06-23
2551,2016-06-28
2552,2016-06-29
2553,2016-07-05
2554,2016-07-06
2555,2016-07-07
2556,2016-07-12
2557,2016-07-13
2558,2016-07-14
2559,2016-07-19
2560,2016-07-20
2561,2016-07-21
2562,2016-07-26
2563,2016-07-27
2564,2016-07-28
2565,2016-08-02
2566,2016-08-03
2567,2016-08-04
2568,2016-08-09
2569,2016-08-10
2570,2016-08-11
2571,2016-08-16
2572,2016-08-17
2573,2016-08-18
2574,2016-08-23
2575,2016-08-24
2576,2016-08-25
2577,2016-08-30
2578,2016-09-06
2579,2016-09-07
2580,2016-09-08
2581,2016-09-13
2582,2016-09-20
2583,2016-09-21
2584,2016-09-22
2585,2016-09-27
2586,2016-09-28
2587,2016-09-29
2588,2016-10-11
2589,2016-10-12
2590,2016-10-13
2591,2016-10-18
2592,2016-10-19
2593,2016-10-20
2594,2016-10-25
2595,2016-10-26
2596,2016-10-27
2597,2016-11-02
2598,2016-11-03
2599,2016-11-08
2600,2016-11-09
2601,2016-11-10
2602,2016-11-15
2603,2016-11-16
2604,2016-11-17
2605,2016-11-22
2606,2016-11-23
2607,2016-11-24
2608,2016-11-29
2609,2016-12-06
2610,2016-12-07
2611,2016-12-08
2612,2016-12-13
2613,2016-12-14
2614,2016-12-15
2615,2016-12-20
2616,2016-12-21
2617,2016-12-22
2618,2016-12-27
2619,2016-12-28
2620,2016-12-29
2621,2017-01-04
2622,2017-01-05
2623,2017-01-10
2624,2017-01-11
2625,2017-01-12
2626,2017-01-17
2627,2017-01-18
2628,2017-01-19
2629,2017-01-24
2630,2017-01-25
2631,2017-02-07
2632,2017-02-08
2633,2017-02-09
2634,2017-02-14
2635,2017-02-15
2636,2017-02-16
2637,2017-02-21
2638,2017-02-22
2639,2017-02-23
2640,2017-03-02
2641,2017-03-07
2642,2017-03-08
2643,2017-03-09
2644,2017-03-14
2645,2017-03-15
2646,2017-03-16
2647,2017-03-21
2648,2017-03-22
2649,2017-03-23
2650,2017-03-28
2651,2017-03-29
2652,2017-03-30
2653,2017-04-06
2654,2017-04-11
2655,2017-04-12
2656,2017-04-13
2657,2017-04-18
2658,2017-04-19
2659,2017-04-20
2660,2017-04-25
2661,2017-04-26
2662,2017-04-27
2663,2017-05-03
2664,2017-05-04
2665,2017-05-09
2666,2017-05-10
2667,2017-05-11
2668,2017-05-16
2669,2017-05-17
2670,2017-05-18
2671,2017-05-23
2672,2017-05-24
2673,2017-05-25
2674,2017-06-06
2675,2017-06-07
2676,2017-06-08
2677,2017-06-13
2678,2017-06-14
2679,2017-06-15
2680,2017-06-20
2681,2017-06-21
2682,2017-06-22
2683,2017-06-27
2684,2017-06-28
2685,2017-06-29
2686,2017-07-04
2687,2017-07-05
2688,2017-07-06
2689,2017-07-11
2690,2017-07-12
2691,2017-07-13
2692,2017-07-18
2693,2017-07-19
2694,2017-07-20
2695,2017-07-25
2696,2017-07-26
2697,2017-07-27
2698,2017-08-02
2699,2017-08-03
2700,2017-08-08
2701,2017-08-09
2702,2017-08-10
2703,2017-08-15
2704,2017-08-16
2705,2017-08-17
2706,2017-08-22
2707,2017-08-23
2708,2017-08-24
2709,2017-08-29
2710,2017-08-30
2711,2017-09-05
2712,2017-09-06
2713,2017-09-07
2714,2017-09-12
2715,2017-09-13
2716,2017-09-14
2717,2017-09-19
2718,2017-09-20
2719,2017-09-21
2720,2017-09-26
2721,2017-09-27
2722,2017-09-28
2723,2017-10-10
2724,2017-10-11
2725,2017-10-12
2726,2017-10-17
2727,2017-10-18
2728,2017-10-19
2729,2017-10-24
2730,2017-10-25
2731,2017-10-26
2732,2017-11-02
2733,2017-11-07
2734,2017-11-08
2735,2017-11-09
2736,2017-11-14
2737,2017-11-15
2738,2017-11-16
2739,2017-11-21
2740,2017-11-22
2741,2017-11-23
2742,2017-11-28
2743,2017-11-29
2744,2017-12-05
2745,2017-12-06
2746,2017-12-07
2747,2017-12-12
2748,2017-12-13
2749,2017-12-14
2750,2017-12-19
2751,2017-12-20
2752,2017-12-21
2753,2017-12-26
2754,2017-12-27
2755,2017-12-28
2756,2018-01-03
2757,2018-01-04
2758,2018-01-09
2759,2018-01-10
2760,2018-01-11
2761,2018-01-16
2762,2018-01-17
2763,2018-01-18
2764,2018-01-23
2765,2018-01-24
2766,2018-01-25
2767,2018-01-30
2768,2018-02-06
2769,2018-02-07
2770,2018-02-08
2771,2018-02-13
2772,2018-02-27
2773,2018-03-06
2774,2018-03-07
2775,2018-03-08
2776,2018-03-13
2777,2018-03-14
2778,2018-03-15
2779,2018-03-20
2780,2018-03-21
2781,2018-03-22
2782,2018-03-27
2783,2018-03-28
2784,2018-03-29
2785,2018-04-03
2786,2018-04-10
2787,2018-04-11
2788,2018-04-12
2789,2018-04-17
2790,2018-04-18
2791,2018-04-19
2792,2018-04-24
2793,2018-04-25
2794,2018-04-26
2795,2018-05-03
2796,2018-05-08
2797,2018-05-09
2798,2018-05-10
2799,2018-05-15
2800,2018-05-16
2801,2018-05-17
2802,2018-05-22
2803,2018-05-23
2804,2018-05-24
2805,2018-05-29
2806,2018-05-30
2807,2018-06-05
2808,2018-06-06
2809,2018-06-07
2810,2018-06-12
2811,2018-06-13
2812,2018-06-14
2813,2018-06-20
2814,2018-06-21
2815,2018-06-26
2816,2018-06-27
2817,2018-06-28
2818,2018-07-03
2819,2018-07-04
2820,2018-07-05
2821,2018-07-10
2822,2018-07-11
2823,2018-07-12
2824,2018-07-17
2825,2018-07-18
2826,2018-07-19
2827,2018-07-24
2828,2018-07-25
2829,2018-07-26
2830,2018-08-02
2831,2018-08-07
2832,2018-08-08
2833,2018-08-09
2834,2018-08-14
2835,2018-08-15
2836,2018-08-16
2837,2018-08-21
2838,2018-08-22
2839,2018-08-23
2840,2018-08-28
2841,2018-08-29
2842,2018-08-30
2843,2018-09-04
2844,2018-09-05
2845,2018-09-06
2846,2018-09-11
2847,2018-09-12
2848,2018-09-13
2849,2018-09-18
2850,2018-09-19
2851,2018-09-20
2852,2018-09-26
2853,2018-09-27
2854,2018-10-09
2855,2018-10-10
2856,2018-10-11
2857,2018-10-16
2858,2018-10-17
2859,2018-10-18
2860,2018-10-23
2861,2018-10-24
2862,2018-10-25
2863,2018-10-30
2864,2018-11-06
2865,2018-11-07
2866,2018-11-08
2867,2018-11-13
2868,2018-11-14
2869,2018-11-15
2870,2018-11-20
2871,2018-11-21
2872,2018-11-22
2873,2018-11-27
2874,2018-11-28
2875,2018-11-29
2876,2018-12-04
2877,2018-12-05
2878,2018-12-06
2879,2018-12-11
2880,2018-12-12
2881,2018-12-13
2882,2018-12-18
2883,2018-12-19
2884,2018-12-20
2885,2018-12-25
2886,2018-12-26
2887,2018-12-27
2888,2019-01-03
2889,2019-01-08
2890,2019-01-09
2891,2019-01-10
2892,2019-01-15
2893,2019-01-16
2894,2019-01-17
