,td_date
310,1999-10-14
311,1999-10-19
312,1999-10-20
313,1999-10-21
314,1999-10-26
315,1999-10-27
316,1999-10-28
317,1999-11-02
318,1999-11-03
319,1999-11-04
320,1999-11-09
321,1999-11-10
322,1999-11-11
323,1999-11-16
324,1999-11-17
325,1999-11-18
326,1999-11-23
327,1999-11-24
328,1999-11-25
329,1999-12-02
330,1999-12-07
331,1999-12-08
332,1999-12-09
333,1999-12-14
334,1999-12-15
335,1999-12-16
336,1999-12-22
337,1999-12-23
338,1999-12-28
339,1999-12-29
340,2000-01-05
341,2000-01-06
342,2000-01-11
343,2000-01-12
344,2000-01-13
345,2000-01-18
346,2000-01-19
347,2000-01-20
348,2000-01-25
349,2000-01-26
350,2000-01-27
351,2000-02-15
352,2000-02-16
353,2000-02-17
354,2000-02-22
355,2000-02-23
356,2000-02-24
357,2000-03-02
358,2000-03-07
359,2000-03-08
360,2000-03-09
361,2000-03-14
362,2000-03-15
363,2000-03-16
364,2000-03-21
365,2000-03-22
366,2000-03-23
367,2000-03-28
368,2000-03-29
369,2000-03-30
370,2000-04-04
371,2000-04-05
372,2000-04-06
373,2000-04-11
374,2000-04-12
375,2000-04-13
376,2000-04-18
377,2000-04-19
378,2000-04-20
379,2000-04-25
380,2000-04-26
381,2000-04-27
382,2000-05-09
383,2000-05-10
384,2000-05-11
385,2000-05-16
386,2000-05-17
387,2000-05-18
388,2000-05-23
389,2000-05-24
390,2000-05-25
391,2000-05-30
392,2000-06-06
393,2000-06-07
394,2000-06-08
395,2000-06-13
396,2000-06-14
397,2000-06-15
398,2000-06-20
399,2000-06-21
400,2000-06-22
401,2000-06-27
402,2000-06-28
403,2000-06-29
404,2000-07-04
405,2000-07-05
406,2000-07-06
407,2000-07-11
408,2000-07-12
409,2000-07-13
410,2000-07-18
411,2000-07-19
412,2000-07-20
413,2000-07-25
414,2000-07-26
415,2000-07-27
416,2000-08-02
417,2000-08-03
418,2000-08-08
419,2000-08-09
420,2000-08-10
421,2000-08-15
422,2000-08-16
423,2000-08-17
424,2000-08-22
425,2000-08-23
426,2000-08-24
427,2000-08-29
428,2000-08-30
429,2000-09-05
430,2000-09-06
431,2000-09-07
432,2000-09-12
433,2000-09-13
434,2000-09-14
435,2000-09-19
436,2000-09-20
437,2000-09-21
438,2000-09-26
439,2000-09-27
440,2000-09-28
441,2000-10-10
442,2000-10-11
443,2000-10-12
444,2000-10-17
445,2000-10-18
446,2000-10-19
447,2000-10-24
448,2000-10-25
449,2000-10-26
450,2000-11-02
451,2000-11-07
452,2000-11-08
453,2000-11-09
454,2000-11-14
455,2000-11-15
456,2000-11-16
457,2000-11-21
458,2000-11-22
459,2000-11-23
460,2000-11-28
461,2000-11-29
462,2000-12-05
463,2000-12-06
464,2000-12-07
465,2000-12-12
466,2000-12-13
467,2000-12-14
468,2000-12-19
469,2000-12-20
470,2000-12-21
471,2000-12-26
472,2000-12-27
473,2000-12-28
474,2001-01-03
475,2001-01-04
476,2001-01-09
477,2001-01-10
478,2001-01-11
479,2001-01-16
480,2001-01-17
481,2001-01-18
482,2001-02-06
483,2001-02-07
484,2001-02-08
485,2001-02-13
486,2001-02-14
487,2001-02-15
488,2001-02-20
489,2001-02-21
490,2001-02-22
491,2001-02-27
492,2001-03-06
493,2001-03-07
494,2001-03-08
495,2001-03-13
496,2001-03-14
497,2001-03-15
498,2001-03-20
499,2001-03-21
500,2001-03-22
501,2001-03-27
502,2001-03-28
503,2001-03-29
504,2001-04-03
505,2001-04-04
506,2001-04-05
507,2001-04-10
508,2001-04-11
509,2001-04-12
510,2001-04-17
511,2001-04-18
512,2001-04-19
513,2001-04-24
514,2001-04-25
515,2001-04-26
516,2001-05-09
517,2001-05-10
518,2001-05-15
519,2001-05-16
520,2001-05-17
521,2001-05-22
522,2001-05-23
523,2001-05-24
524,2001-05-29
525,2001-05-30
526,2001-06-05
527,2001-06-06
528,2001-06-07
529,2001-06-12
530,2001-06-13
531,2001-06-14
532,2001-06-19
533,2001-06-20
534,2001-06-21
535,2001-06-26
536,2001-06-27
537,2001-06-28
538,2001-07-03
539,2001-07-04
540,2001-07-05
541,2001-07-10
542,2001-07-11
543,2001-07-12
544,2001-07-17
545,2001-07-18
546,2001-07-19
547,2001-07-24
548,2001-07-25
549,2001-07-26
550,2001-08-02
551,2001-08-07
552,2001-08-08
553,2001-08-09
554,2001-08-14
555,2001-08-15
556,2001-08-16
557,2001-08-21
558,2001-08-22
559,2001-08-23
560,2001-08-28
561,2001-08-29
562,2001-08-30
563,2001-09-04
564,2001-09-05
565,2001-09-06
566,2001-09-11
567,2001-09-12
568,2001-09-13
569,2001-09-18
570,2001-09-19
571,2001-09-20
572,2001-09-25
573,2001-09-26
574,2001-09-27
575,2001-10-09
576,2001-10-10
577,2001-10-11
578,2001-10-16
579,2001-10-17
580,2001-10-18
581,2001-10-23
582,2001-10-24
583,2001-10-25
584,2001-10-30
585,2001-11-06
586,2001-11-07
587,2001-11-08
588,2001-11-13
589,2001-11-14
590,2001-11-15
591,2001-11-20
592,2001-11-21
593,2001-11-22
594,2001-11-27
595,2001-11-28
596,2001-11-29
597,2001-12-04
598,2001-12-05
599,2001-12-06
600,2001-12-11
601,2001-12-12
602,2001-12-13
603,2001-12-18
604,2001-12-19
605,2001-12-20
606,2001-12-25
607,2001-12-26
608,2001-12-27
609,2002-01-08
610,2002-01-09
611,2002-01-10
612,2002-01-15
613,2002-01-16
614,2002-01-17
615,2002-01-22
616,2002-01-23
617,2002-01-24
618,2002-01-29
619,2002-01-30
620,2002-02-05
621,2002-02-06
622,2002-02-07
623,2002-02-26
624,2002-02-27
