code,jensen,ppw,sharpe,sortino,stability
000015,-5.995984292075831e-05,-0.00017973660344512745,1.9769265480135831,0.29571158534150105,45
000016,-0.0001087619396158688,-0.00018351806379146292,1.8332351595108074,0.29950289991472284,47
000032,0.00020807394339385644,0.0001899999454049581,2.7982015432399057,0.36270315457171276,50
000033,0.00013196543953724325,0.00010965526301353492,2.5494087903756517,0.3497123150712779,50
000050,-0.0003450815327765785,-0.00039938485330813837,1.03515052415808,0.17685147062093362,46
000052,-0.0003945893605865385,-0.0004528901183763146,0.8736375549972623,0.15328948885957366,47
000084,0.0001826042366939607,0.00019571878416374902,2.30728851808477,0.41679479924950463,51
000085,7.348978898725242e-05,4.8501211323615306e-05,1.8924194168042374,0.25374764699798474,43
000128,-5.807664004987514e-05,-0.00010898082233175012,1.0759831914373952,0.1814345417550655,34
000129,-3.894814187114484e-06,-8.359373053145678e-05,1.3118020254566112,0.2103630538805323,40
000139,-1.7001868501757432e-05,-6.938185914272415e-05,1.0388490287010326,0.1907129266710068,43
000141,-9.94948702218715e-05,-0.00013400026985672378,0.6437820253351877,0.14922525105383985,44
000147,-0.00026933620370379364,-0.0003925056863019849,1.3929120012090181,0.2133582477893158,44
000148,-0.00031848800222403803,-0.00042892554763882874,1.2326671999529601,0.18865481191417252,44
000152,3.5072046223414235e-05,-3.2619282693559216e-05,2.0605762029264922,0.32229711580279186,48
000153,-2.3083372399218256e-05,-0.00010917109007099206,1.8997269879054348,0.2971563673346901,49
000186,-0.0004043948222314535,-0.0004948408466620004,0.6255039155424499,0.10381200431894995,49
000187,-0.00020295626705682914,-0.0003372819238414462,1.3007600790012561,0.20734537089331617,41
000188,-0.00017517366712815213,-0.00021624284823571594,1.1822728870227492,0.17358009910785097,40
000191,-7.538644462186931e-05,-0.00016826809908337687,1.1246641415135914,0.1478555765771958,37
000192,-0.00017026497763563493,-0.00026993660307069275,0.8838879641359766,0.13092023898566446,49
